Pos,Nation,Sail Number,Crew,Race,,,,,,Points,
,,,,1,2,3,4,5,6,Total,Net
1,FRA,Parker F 4747,Yves PAJOTMarc PAJOT,0,-15,3,0,11.07.2020,3,21.00,1.12.2000
2,USA,5059,Dennis SURTEESStephen Owens,,,,,,,0.00,
3,SWE,3316,Björn ArnessonGöran Andersson,,,,,,,0.00,
4,SWE,5101,Christer BATHPelle BATH,,,,,,,0.00,
5,GBR,K 5157,John Loveday LOVEDAYLewis Dann DANN,,,,,,,0.00,
6,GBR,5089,Peter White WHITEJohn Davies DAVIES,,,,,,,0.00,
7,FRA,4639,Marcel BUFFETThierry Moreau-Defarges,,,,,,,0.00,
8,SWE,4315,Karl-Erik Nilsson NILSSONFlemming NILSSON,,,,,,,0.00,
9,GBR,5099,Peter COLCLOUGHStephen Jones JONES,,,,,,,0.00,
10,GBR,4079,Hugh Bourn BOURNMichael Bryant BRYANT,,,,,,,0.00,
12,SWE,3991,Ulf Andersson ANDERSSONJan Andersson ANDERSSON,,,,,,,0.00,
13,SWE,4949,Magnus Olsson OLSSONGöran Olsson OLSSON,,,,,,,0.00,
