Nation,SAIL NO.,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total Points,Position
GBR,5789,Peter Colclough,Philip Brown,,2,DNF,1,2,3,1,11.7,1
FRA,5792,Nicholas Loday,Nicolas Fedorenko,,1,DNF,5,1,10,4,34,2
SWE,5713,Jan Andersson,Ulf Andersson,,4,1,3,10,11,44,46.7,3
GBR,5582,Derek Farrant,Bev Moss,,10,7,9,5,9,9,68,4
IRL,5459,McReady,,,12,23,11,4,12,7,74,5
DEN,5635,Jan Eppers,Markholm,,5,2,6,127,63,26,74.7,6
GER,5491,Ewalosen,,,Fi,4,16,8,13,6,74.7,7
GBR,5423,Mike Platts,,,7,5,13,15,26,17,86,8
GBR,5761,Mike Lingwood,,,9,DNF,23,14,4,18,96,9
FRA,5727,Jerome Langlois,Philippe Serane,,15,DNF,4,21,15,20,103,10
GBR,5845,John Loveday,,,DNF,3,2,7,2,DSQ,105.7,11
FRA,5565,Marcel Buffet,,,44,19,21,6,18,13,106.7,12
GBR,5021,Robert Napier,,,27,6,22,26,41,2,107.7,13
FIN,5134,Jan Lindahl,,,6,22,DNF,17,28,8,110.7,14
GBR,5801,Hugh Bourn,,,11,10,DNF,19,14,27,111,15
SWE,5721,Karl-Erik Nilsson,Flemming Nilausen,,14,DNF,8,16,7,41,116,16
DEN,5443,Jens Christensen,,,3,DNF,10,9,DSQ,5,127.7,17
GER,5470,Beckman,,,35,9,19,33,30,10,131,18
DEN,5634,Hans Westh,,,21,DNF,7,20,17,36,131,19
GBR,5731,Malcolm Goodwin,,,23,25,15,18,21,DNF,132,20
GBR,5709,Peter Bainbridge,,,17,13,31,39,57,12,142,21
GBR,5757,Larry Marks,,,DNS,17,29,29,20,24,149,22
GBR,5659,Dennis Surtees,,,8,16,33,DNF,43,22,153,23
FRA,5800,Fischer,,,22,DNF,17,42,46,3,156.7,24
SUI,5530,Martin Ingold,,,30,12,35,62,6,46,158.7,25
DEN,4543,Holm,,,33,15,39,41,33,15,165,26
BEL,5307,R. Ronsmans,,,24,14,DNF,45,27,31,171,27
GBR,4984,McIntyre,,,DNF,DNF,25,13,22,19,184,28
FRA,5561,Bouvet,,,19,DNF,49,36,5,49,187,29
SWE,5720,Staffan Eklund,Anders Eklund,,20,DNF,DNS,30,8,25,188,30
FRA,5651,Le Troquer,,,13,DNF,42,37,23,47,119.2,31
DEN,4409,Ringsted,,,28,DNF,41,25,19,50,193,32
SWE,5157,Peter Lundqvist,Gunnar Krantz,,52,21,20,48,24,DNF,195,33
FIN,5335,Kari Wilén,Jyri Wilén,,29,DNF,14,34,68,21,196,34
GER,5599,Weber,,,39,26,30,38,36,37,197,35
FRA,5557,Derche,,,18,DNF,40,22,51,40,201,36
SWE,5791,Ebbe Rosén,Olle Wenrup,,40,DNF,26,44,1,DNF,209,37
SWE,5227,Stefan Eriksson,Kjell Lidman,,16,DNF,54,3,42,DNF,216.7,38
GBR,5769,McKenzie,,,37,DNF,37,3,48,35,219,39
GBR,5654,Willmot,,,DNF,DNF,34,24,31,30,224,40
GBR,5881,Jerkin,,,38,20,32,49,59,DNF,228,41
GBR,5350,Phil Milanes,,,DNF,DNF,12,61,40,11,229,42
GBR,5448,Evans,,,43,18,53,60,53,32,729,43
GBR,5272,Wilson,,,46,DNS,28,55,58,16,233,44
SUI,5698,Keller,,,47,DNF,38,28, ,54,236,45
FRA,5457,Pottier,,,DNF,8,DNF,54,38,38,243,46
FRA,5682,Christ,,,DNF,11,51,57,64,33,246,47
SWE,5797,Göran Eckeström,Jan Calvert,,DNF,DNF,24,11,37,DNF,252,48
GBR,4470,Mills,,,25,DNF,DNF,23,44,61,258,49
GBR,4767,Head,,,36,DNF,47,47,55,43,258,50
GBR,5744,Michael Lawton,,,DNF,DNF,DNF,35,32,14,261,51
GER,5356,Peterson,,,42,DNF,50,53,34,55,264,52
GBR,5708,Parker,,,32,DNF,43,40,45,DNF,265,53
FRA,5472,Guillaume,,,34,DNF,60,66,25,51,266,54
FIN,5369,Ludde Ingvall,,,DNS,DNF,18,56,16,DNF,270,55
FRA,4978,Doerenbecher,,,DNF,DNS,44,64,35,23,271,56
SUI,5617,Wismer,,,59,27,65,73,61,29,271,57
FIN,5743,Falck,,,26,DNF,27,52,65,DNS,275,58
GER,5471,Wiegers,,,41,DNF,45,43,67,57,283,59
GER,5652,Wiedemann,,,50,DNF,66,46,49,42,283,60
FRA,5300,Vinches,,,53,DNF,52,50,52,48,285,61
GBR,4926,Agrell,,,DNF,DNF,57,31,29,DNS,297,62
GBR,4766,Donnelly,,,DNF,DNF,56,51,50,39,301,63
GER,4912,Scherer,,,55,28,DNF,67,69,56,305,64
FRA,5456,Tristan,,,31,DNF,DNF,27,DNF,DNF,315,65
IRL,5719,Howell,,,DNF,24,61,69,73,60,317,66
GBR,5375,Heck,,,DNF,DNS,46,DNS,56,34,323,67
GER,5366,Dietz,,,48,DNF,59,65,47,DNF,324,68
GER,5486,Graff,,,54,DNF,55,63,71,62,335,69
FRA,4801,Ducos,,,DNF,DNF,62,59,74,45,345,70
FRA,5033,Armengaud,,,DNF,DNF,36,76,60,DNF,351,71
DEN,4401,Andersen,,,DNF,DNF,48,58,66,DNF,351,72
SWE,3683,Bo Ferm,Jan Ferm,,49,DNS,DNF,70,77,52,355,73
FRA,5846,Muloer,,,57,DNF,67,74,75,53,356,74
GBR,5858,John Locke,,,45,DNF,DNF,DNF,54,DNS,360,75
IRL,5005,Cooke,,,56,DNS,58,68,70,DNS,364,76
IRL,4382,Conway,,,51,DNF,DNF,DNS,76,58,365,77
IRL,5826,Dennis O'Sullivan,,,61,DNF,68,75,79,59,368,78
FIN,5316,Karkkainen,,,58,DNS,DNF,71,62,DNF,373,79
SUI,5532,Brunschwiler,,,62,DNF,64,72,72,DNF,375,80
GER,5447,Stoll,,,60,DNF,63,DNF,78,DNF,381,81
IRL,5034,Reay,,,DNF,DNS,DNS,DNF,DNS,DNS,430,82
