Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
SWE,7343,Karl-Erik Nilsson,Jan Calvert,,1,3,4,1,9,13.7p,1
SWE,7591,Ebbe Rosen,Olle Wenrup,,7,5,YMP,4,1,24.0p,2
SWE,7593,Staffan Eklund,Anders Eklund,,13,2,7,2,7,32.0p,3
SWE,7498,Stefan Eriksson,Kjell Lidman,,2,13,21,6,28,32.1p,4
GBR,7399,Clive Robinson,Malcolm Swallow,,3,11,1,9,8,34.7p,5
SWE,7542,Krister Bergstrom,Dan Goransson,,6,DNF,YMP,3,10,44.5p,6
FRA,7501,Herve Wattine, Patrick Solatges,,4,14,8,22,5,52.0p,7
SUI,7395,Urs Scherer,Ruedi Mathis,,9,27,2,18,6,53.7p,8
GBR,7430,John E Kobylanski,Simon Briddon,,19,11,23,17,4,56.0p,9
GBR,7391,Mark Elkington,Paul Elkington,,38,110,5,21,2,56.0p,10
