Nation,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Place
AUS,0,Terry Kyrwood,Reg Crick,,27,3,1,9,4,1,28.7p,1
AUS,0,Gary Bruniges,Greg Gardiner,,1,7,8,4,1,6,32.7p,2
AUS,0,Geoff Kyrwood,Bob Kyrwood,,4,2,4,3,6,8,36.4p,3
AUS,0,Peter Hewson,Alyn Ovenden,,10,4,2,1,11,10,43.0p,4
USA,0,Jeff Miller,Thomas Poore,,20,9,12,2,2,4,47.0p,5
AUS,0,Neil Harrison,Nick Paterson,,11,1,33,20,3,3,54.4p,6
AUS,0,Mark Soulsby,Anthony Hansen,,3,12,22,5,9,7,61.7p,7
AUS,0,Shane Duessen,Craig Watkins,,18,16,5,17,8,5,79.0p,8
SWE,0,Krister Bergström,Olle Wenrup,,47,6,17,7,13,17,89.7p,9
AUS,0,Grahame Engert Jr,Paul Campbell,,19,19,3,13,12,ret,92.7p,10
,,,,,,,,,,,,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
,,,,,,,,,,,,14
,,,,,,,,,,,,15
,,,,,,,,,,,,16
,,,,,,,,,,,,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
,,,,,,,,,,,,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
,,,,,,,,,,,,34
,,,,,,,,,,,,35
,,,,,,,,,,,,36
,,,,,,,,,,,,37
,,,,,,,,,,,,38
,,,,,,,,,,,,39
,,,,,,,,,,,,40
,,,,,,,,,,,,41
,,,,,,,,,,,,42
,,,,,,,,,,,,43
,,,,,,,,,,,,44
,,,,,,,,,,,,45
,,,,,,,,,,,,46
,,,,,,,,,,,,47
,,,,,,,,,,,,48
,,,,,,,,,,,,49
,,,,,,,,,,,,50
,,,,,,,,,,,,51
,,,,,,,,,,,,52
,,,,,,,,,,,,53
,,,,,,,,,,,,54
,,,,,,,,,,,,55
,,,,,,,,,,,,56
,,,,,,,,,,,,57
,,,,,,,,,,,,58
,,,,,,,,,,,,59
,,,,,,,,,,,,60
,,,,,,,,,,,,61
,,,,,,,,,,,,62
,,,,,,,,,,,,63
