Nat,Båtnr,Rorsman,Gast,Klubb,1,2,3,4,5,6,Sum,#
GBR,7940,Peter Colclough,Harold Barnes,LLSC,2,2,4,11,2,34,34,1
SWE,7655,Krister Bergström,Magnus Holmberg,GKSS,3,1,94 DSQ,1,1,36,47.7,2
SWE,7592,Jan Bergström,Bengt Zachrisson,GKSS,11,9,1,8,24,4,54,3
AUS,7738,Gary Bruniges,Greg Gardner,RMYCT,4,4,23,5,20,2,55,4
AUS,7829,Dean Blatchford,Tom Woods,RMYCT,6,3,7,12,15,6,60.1,5
GBR,7898,Clive Robinson,Phil Brown,BSC,16,20,3,4,9,14,70.7,6
GBR,7787,Martin Jones,Bill Masterman,QMSC,5,11,6,20,12,12,74.7,7
SWE,7922,Ebbe Rosen,Olle Wenrup,KSSS,10,19,2,14,6,27,75.7,8
USA,7358,Jeff Braun,Bill Kenney,PYC,15,18,11,3,49,5,77.7,9
FRA,7933,Philippe Boite,Jean-Luc Muzellec,CVM,12,51,24,9,3,11,85.7,10
USA,6932,Sally Lindsay,Stanley Honey,RPA,17,5,12,16,8,28,87,11
AUS,7902,Terry Kyrwood,Geoffrey Kyrwood,RMYCT,25,14,9,2,35,31,106,12
SWE,7343,Kalle Nilsson,Joakim Petterson,GKSS,8,54,10,48,5,7,107,13
DEN,7017,Svend Molbech,Poul Strange,SSK,34,16,13,58,7,9,109,14
FRA,7147,Philippe Lecrite,Guy Bottlaender,ACAL,9,6,37,10,21,94 DNS,112.7,15
GBR,7881,Neil Thomas,Damiani Chisholm,WCSC,13,46,18,17,10,25,113,16
USA,7201,Howard Hamlin,Jay Glaser,NHYC,26,15,21,40,22,3,113.7,17
FRA,7931,Herve Wattinne,Louis-Michel Ces,YCPR,94 DSQ,21,25,15,4,29,122,18
GBR,7921,Chris Lewis,Russel Peters,CSC,1,94 DSQ,94 DSQ,5,14,1,125.7,19
USA,7092,Mark Wheeler,Allen Kilgore,HYC,18,13,15,22,28,47,126,20
FIN,7948,Hannu Merikallio,Otto Toivanen,,59,30,23,33,22,25,133,21
SUI,7953,Stefan Rueger,Peter Seitz,,29,33,10,94 DSQ,36,29,137,22
DEN,7878,Jorgen Holm-Nielsen,Finn Jensen,,55,42,47,13,24,24,150,23
USA,7607,Jeff Miller,Bruce Heckman,,42,29,94 DNS,34,17,30,152,24
GBR,7769,Nicholas Smith,Barry Smith,,26,32,51,32,25,39,154,25
GER,7757,Frank Dieckmann,Mark Dieckmann,,30,43,33,24,94 DNS,32,162,26
FRA,7617,Philippe Delhumeau,P. Michel,,13,14,59,48,31,60,165,27
GBR,7837,David White,David Bayfield,,56,35,26,57,33,19,169,28
FRA,7491,Brund Guillen,Edouard Koch,,37,51,36,30,49,27,179,29
USA,7068,Bruce Ayres,Don Ayres,,33,65,35,41,58,22,189,30
GBR,7803,David Peacock, Keith Summersgill,,94 DSQ,44,14,59,63,14,194,31
FRA,7695,Sylvain Pellissier,Nicolas Auberger,,61,50,45,38,40,23,196,32
GBR,7929,Mike Lawton,Andy Gray,,44,28,40,47,38,66,197,33
FRA,7941,Marc J. Paquotte,Serge Ehrhardt,,20,77,50,62,47,21,200,34
SUI,7568,Markus Bohren,Marco Brunner,,38,13,46,55,57,52,204,35
USA,7874,John Gilmour,Jim Maloney,,53,16,58,61,94 DNS,16,204,36
SWE,7351,Jesper Wallin,Karl-Aage Reerslev,HKK,56,41,48,34,13,38,204,37
SUI,7889,Werner Muller,Marco Calderari,,49,40,20,39,94 DSQ,61,209,38
FRA,6419,Claude Gachet,Kleber Valery,,45,80,66,37,23,38,209,39
GER,7637,Jorn Erdmann,Sven Harder,,74,48,28,35,32,68,211,40
FRA,7872,Francois Fischer,J. Cavaille,,39,82,32,50,39,56,216,41
FRA,7847,Francis Doerenbecher,G. Guthmann,,67,34,78,29,37,50,217,42
GBR,7788,Andy Gilmour,Nigel Bultitude,,51,46,65,27,27,94 DNS,218,43
SUI,7751,Roger Oswald,C. Wiskemann,,71,37,41,67,46,28,219,44
SUI,7635,Urs Scherrer,Roger Fischer,,52,63,67,19,42,47,223,45
GBR,7915,Ossie Stewart,Kevin Richardson,,25,41,22,42,94 DNS,94 DNS,224,46
DEN,7719,Claus Jakobsen,Kim Hyttel,,64,23,77,31,60,57,235,47
FRA,7740,Serge Gubri,Philippe Serane,,63,66,56,36,35,46,236,48
FRA,7762,Eric Jacta,Robert Massot,,48,39,63,44,52,54,237,49
GER,7782,Andreas Beckmann,W. Pollex,,80,36,38,77,62,26,239,50
FRA,7888,Christian Lippi,Didier Derand,,35,72,34,66,61,43,239,51
GBR,7580,Mike Platts,Nick Powell,,54,54,48,45,45,48,240,52
FRA,7647,Christian Silvestre,B. Bonnet,,77,18,52,25,71,77,243,53
GBR,7706,D. C. Revill,N. R. Brackenbury,,43,79,25,58,51,67,244,54
USA,7346,Macy Nelson,Franklyn Thompson,,50,38,61,70,50,45,244,55
AUS,7252,John Warlow,Richard Machin,,60,45,37,65,73,41,248,56
FRA,7863,Emmanuel Desford,Pat Rouanet,,65,31,39,51,78,78,264,57
SUI,7558,Josef Zuppiger,Daniel Brun,,46,62,55,43,94 DNS,63,269,58
FRA,7710,Marcel Buffet,J. Luc Guermond,,41,75,76,49,43,72,280,59
GBR,7693,Nick Martin,Hugh Myers,,27,94 DSQ,53,60,94 DNS,49,283,60
GBR,7894,James Hair,Gordon Crae,,36,94 DNS,80,73,44,58,291,61
GBR,7880,John McLaren,Jack Edwards,,57,68,62,69,54,55,296,62
GER,7548,Hauke RAthjens,F. M. Uhlemann,,94 DSQ,49,44,94 DSQ,48,65,300,63
GER,7861,Stefan Waskonig,Steen Risom,,75,56,49,56,66,94 DNS,302,64
IRL,7900,Julian Cooke,Andrew Morris,,58,58,64,63,76,62,305,65
GER,7584,Bernd Kowalzig,Claus Tiedemann,,47,78,60,94 RET,64,59,308,66
CAN,7959,Robin Brown,Per Jacobsen,,83,61,42,53,94 DSN,71,310,67
GER,7927,Brigette Preuss,Rolf Bertenrath,,34,67,72,80,67,73,313,68
GER,7589,Adalbert Kluck,Gerhard Schmidt,,70,69,79,82,59,36,313,69
FIN,7885,Mikko Saarela,Jarkko Niemi,,28,70,70,78,70,94 DSN,316,70
FRA,7629,Philippe Goubault,Eric J. Petit,,72,55,75,79,72,51,325,71
GER,7955,Thomas Jundel,Holger Jess,,68,59,57,57,52,94 DNS,330,72
GER,7732,Harald Busch, Peter Micke,,82,64,74,72,56,64,330,73
FIN,7121,Matti Pentti,Jukka Lindfors,,66,76,68,68,68,70,340,74
SUI,7749,Jean-Francois,Haldi 'T. Vandeveld,,69,83,73,73,53,74,344,75
KEN,7851,John Wylesi,Anthony Cockayne,,78,53,71,74,74,76,348,76
GER,7219,Klaus Stammerjohann,Jan Harders,,84,74,69,76,69,94 DNS,372,77
FIN,7652,Petri Ebeling,Esko Aho,,73,81,82,85,75,69,380,78
BEL,6855,Paul Gorremans,E. Waubant,,87,84,85,71,77,75,392,79
SIN,7468,Alan Barnes,Sally Barnes,,94 DSQ,73,83,81,81,79,397,80
FRA,7492,Robert Fossard,,,95,87,86,84,65,80,400,81
SIN,7841,Jeffrey Leow,Yuen Loke Kong,,88,71,84,87,82,82,406,82
IRL,7477,Denis O'Sullivan,Hanno Barth,,76,88,87,86,94 DNS,81,418,83
GBR,7600,Les Everitt,Neil Turner,,86,85,94 DSN,83,79,94 DNS,427,84
FRA,7935,Gerard Toupet,Rene Lagree,,94 RET,86,81,94 DNS,80,94 DSQ,435,85
USA,7839,James L. Jacob,Gary Smith,,79,94 DNS,94 DSN,94 DNS,94 DNS,94 DNS,455,86
GBR,7669,Eric Lockeyear,Maloney Loretta,,81,94 DNS,94 DNS,94 DNS,94 DNS,94 DNS,457,87
