Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,After,Place
USA,8191,Nelson,Alarie,,2,1,5,3,1,1,2,9.25,1
USA,8263,Meller,Johnson,,1,3,1,1,2,5,11,12.25,2
USA,7318,Trotman,Mills,,5,2,2,6,3,2,1,14.75,3
CAN,8264,Jeff Boyd,John Fry,,3,5,3,4,4,4,5,23,4
USA,8083,Fowler,Dyson,,7,4,4,2,5,3,6,24,5
USA,8012,Amthor,Amthor,,4,8,9,7,6,9,4,38,6
USA,7346,Englert,Melton,,9,6,6,9,7,7,12,44,7
USA,7876,Tyler Moore,,,8,DNF,11,5,11,6,7,48,8
USA,7199,Art Gleason,Louise Van Voorhis,,6,15,7,10,9,8,9,49,9
CAN,8194,Kivney,Russell,,11,7,8,11,8,10,8,52,10
USA,8439,John Dohan,Bill Beardslee,,12,DNF,10,8,10,11,14,65,11
USA,8311,Barry Kuehl,George Saunders,,17,16,12,12,12,17,18,86,12
USA,7606,Dan Treadwell,Scott MacKay,,16,13,15,13,13,16,16,86,13
CAN,6910,Rick Leir,Ron Hughes,,15,12,13,DNS,DNS,15,10,90,14
USA,8015,Monty Schumpert,Craig Schumpert,,18,DNF,14,14,14,18,17,95,15
USA,7776,Bob O’Brien,Betsy O’Brien,,14,9,DNS,DNS,DNS,14,15,102,16
USA,7148,Peter Mignerey,Crane,,DNS,11,DNS,DNS,DNS,12,13,111,17
USA,808*,Cox,Smit,,DNS,DNS,DNF,DNS,DNS,13,3,116,18
USA,8018,James Jacob,,,10,10,DNS,DNS,DNS,DNS,DNS,120,19
USA,7772,Barney Harris,Hill,,13,14,DNS,DNS,DNS,DNS,DNS,127,20
USA,3885,Beth Wieser,Stu Kelly,,DNS,DNS,DNS,15,DNS,DNS,DNS,140,21
USA,2664,Luke Renn,Platt,,DNS,DNS,DNS,DNF,DNS,DNS,DNS,150,22
USA,7087,Warren Mangan,,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,150,23
