Nation,Sail#,Driver,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,tot,final,Place
USA,7771,Howard Hamlin,Mike Martin,,ymp,3,0.75,0.75,0.75,3,9.55,6.55,1
USA,7875,Jeff Miller,Bruce Heckman,,0.75,0.75,2,3,2,2,10.5,7.5,2
USA,8616,Bruce Edwards,Dave Shelton,,5,2,3,2,3,0.75,15.75,10.75,3
USA,7611,Steve Smith,Craig Perez,,3,5,4,4,5,dnf,32,21,4
GER,8593,Johan Backsin,Mike Smith,,8,4,5,5,4,6,32,24,5
USA,8554,Andy Gooding,Steve Bartz,,4,6,7,6,6,5,34,27,6
USA,6932,Ashley Tobin,Jim Walters,,2,7,8,8,7,4,36,28,7
USA,8265,Craig Collins,Ken Richards,,9,8,10,7,8,8,50,40,8
USA,7359,Gary Ruggles,Moondog,,6,9,6,dns,dns,dns,5,43,9
USA,3246,Andy Weisner,Tom Look,,10,10,9,9,9,7,54,44,10
