Country,Sail Nb.,Name,,,,,,Nieuwpoort
GBR,8640,Ralston Vernon,,,,,,1
GER,7970,Loblein Kai,,,,,,2
DEN,8082,Christensen Kim,,,,,,3
GER,8652,Dorr Sebastian,,,,,,4
FRA,8348,Bochu Jacques,,,,,,5
DEN,8656,Moller Jan,,,,,,6
DEN,8565,Olesen Anne-Sophie,,,,,,7
GER,8571,Hilgers Karl-Heinz,,,,,,8
GER,8661,Freye Piethardt,,,,,,9
GER,8388,Kellner Christian,,,,,,10
SUI,8486,Zund Simone,,,,,,11
FRA,8002,Rouanne Dominique,,,,,,12
GER,8519,Wisolek Robert,,,,,,13
GBR,8678,Berry Jim,,,,,,14
FRA,8684,Gallo Pierre Jean,,,,,,15
GER,8609,Mullejans Christian,,,,,,16
FRA,8400,Jouany Marc,,,,,,17
SUI,8459,Stolz Caroline,,,,,,18
SUI,8544,Renker Christophe,,,,,,19
SUI,8079,Nydegger Lorenz,,,,,,20
SWE,8655,Bergstrom Krister,,,,,,21
GER,8522,Engel Carsten,,,,,,22
GER,8575,Hellmich Joachim,,,,,,23
FRA ,8008,Dousselin Marc,,,,,,24
GER,8580,Schafer Christian,,,,,,25
SWE,,Thews Jan,,,,,,26
GER,8656,Rachuba Roger,,,,,,27
FRA,8459,Terrasson Jerome,,,,,,28
GBR,7018,Holt Mike,,,,,,29
SWE,8619,Ahrbom Mikael,,,,,,30
FRA,8491,Veroul Frédéric,,,,,,31
GBR,8678,Merry Tim,,,,,,32
SUI,8016,De Serjat J.-Francois,,,,,,33
BEL,8106,Raucent Benoit,,,,,,34
FRA,8509,Muh Pierre,,,,,,35
FRA,8447,Puissant Jean-Guy,,,,,,36
FRA,275,Noclain Jean-Marc,,,,,,37
FRA,8301,Blondy Bernard,,,,,,38
BEL,8350,Vanikaut Bruno,,,,,,39
