Nation,Boat No,helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
GBR,8429,Rob Napier,Kimball Morrison,House of Lords YC,2,1,1,2*,4,1
GBR,8707,Steve Nicholson,John Mildred,Northampton SC,1,5*,2,1,4,2
GBR,8291,Richard Sims,Simon Wood,Burton SC,3,4*,3,4,10,3
GBR,8625,Melvyn Newman,Alex Cull,Queen Mary SC,7*,2,7,3,12,4
FRA,8704,Jean-Baptiste Dupont,Jonathan Rennie,Bough Beech SC,4,3,5,7*,12,5
GBR,8483,Simon Sydenham,Matthew Brittin,Queen Mary SC,14 DNS*,7,4,5,16,6
GBR,8678,Jim Berry,Rich Berry,Chew Valley SC,5,6*,6,6,17,7
GBR,,Chris Pearson,Frank Rainsborough,Queen Mary SC,6,9,10*,8,23,8
GBR,8435,Patrick Mcgale,Tom Ward,Queen Mary SC,8,8,9*,9,25,9
GBR,,Ann Lane,,Queen Mary SC,10,11*,8,10,28,10
GBR,,Andrew Cull,Tim Goodyear,Queen Mary SC,8,9,14 DNS*,14 DNS,31,11
