Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Drops,Netto,Place
CAN,8264,Boyd,ten Hove,,1,1,1,1,2,4*,3*,1,1,15,7,8,1
CAN,8624,Morrin,David Stetson,,3,13 DNS*,2,2,1,1,1,3,5*,31,18,13,2
USA,8600,Kaiser,John Badtke,,4,2,3,3,4,3,3,6*,8*,34,14,20,3
USA,8194,Alexander,Koenig,,2,3,4,4,8*,9*,5,5,2,42,17,25,4
CAN,7605,Renka Gesing,Adam Gesing,,5,4,8*,13 DNF*,3,6,4,2,6,51,21,30,5
USA,8439,Rozelle,Dohan,,9*,5,5,7*,5,3,6,4,3,47,16,31,6
CAN,7798,Hurley,Will Penney,,6,6,6,5,13 DNS*,8,9*,9,4,66,22,44,7
CAN,7796,Debbie Ashby,Dave Adams,,7,7,10*,13 DNF*,6,5,7,7,7,69,13,46,8
CAN,73*,Agrell,Will Wentz,,8,8,7,6,7,10*,11*,8,10,75,21,54,9
CAN,8288,Angus Ross,Jim MacLachlan,,11,9,13 DNF*,13 DNS*,9,11,10,10,9,95,26,69,10
CAN,7857,Doug Hennessey,Mario Angers,,10,10,9,8,11,12*,12*,11,11,94,24,70,11
USA,8073,Katherine Long,Stephen Long,,13 DNS*,13 DNS*,13 DNS,13 DNS,10,7,8,13 DNF,13 DNS,103,26,7,12
