Nation,Sail No.,Skipper Name,,Yacht Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Place
USA,8266,Hamlin,Martin,BLACKBOAT,1,1,2.00*,1,2,1,6,1
USA,7771,Beeckman,Benjamin,GUMMY DE MILO,4.00*,2,1,3,1,2,9,2
USA,8554,Hagan,Park,PANIC,2,8.00*,3,4,3,7,19,3
USA,7873,Adamson,Norman,PINKNESS,5,3,12.00*,5,4,3,20,4
USA,8631,Cox,Smit,BOAT OF WOE,3,5,6,6,7.00*,5,25,5
USA,8616,Chatman,McQueen,ROSA DEL TACO,7,6,4,9.00*,5,4,26,6
USA,8084,Andreeson,Waterman,88TH PLANET,6,7,9.00*,2,6,6,27,7
USA,8731,Lieb,Kerner,,10.00*,4,8,7,8,8,35,8
USA,8192,Hayley,Vongrey,STRING THEORY,8,10,5,8,9,11.00*,40,9
USA,6991,Jenkins,Merino,WEASEL,9,11,7,12.00*,11,9,47,10
USA,8548,Tuck,Poe,,11,9,11,10,10,13.00*,51,11
USA,8593,Meyer,Hanke,,12.00*,12,10,11,12,10,55,12
USA,7069,Byron,Wells,,13,13,15.00*,14,14,12,66,13
CAN,7095,White,Rodgriguez,MILK JUG,16.00*,14,14,13,15,14,70,14
USA,7096,Staley,Vidas,,15.00*,15,13,15,13,15,71,15
USA,8024,Schnelker,Sargent,TGIF,14,17.00*,16,16,17,17,80,16
