505
FINAL RESULTS FOR SERIES
CORK 2002 - 505 Class Results, LOWPOINT Scoring System
Includes Final Jury Decisions
POS  SAIL     SKIPPER                                   RACE RACE RACE RACE RACE RACE RACE   TOTAL   NET
                                                          1    2    3    4    5    6    7    POINTS  POINTS
                                                        Fri. Fri. Fri. Fri. Sat. Sun. Sun.           AFTER
                                                        1152 1314 1456 1610 1223 1120 1313           1 DROP



  1  CAN8264  BOYD, JEFF  Martin Tenhove                   1    1    1    1    6    2    4    16.00   10.00  CAN ON Kingston,Kingston Yacht Club
  2  8698     FOWLER, CHRIS  Andrew Fowler                 3    3    2    3    7   11    1    30.00   19.00  CAN ON Toronto,Kingston YC / RCYC
  3  8263     MCLAUGHLIN, FRANK  Adam Schell               4    9    5    4    2    1    5    30.00   21.00  CAN ON Toronto,RCYC
  4  8012     AMTHOR, HENRY  Douglas Amthor                2    2    3    5    1    9   10    32.00   22.00  USA VA Hampton,Hampton Yacht Club
  5  CAN8260  MOSS LOVSHIN, SHONA  Stephen Lovshin         6    4    4    2    4    8    7    35.00   27.00  CAN PQ Chelsea,Nepean Sailing Club
  6  7092     ROMEY, DUSTIN  John Tihansky                 8    7    6    8    3    3    2    37.00   29.00  CAN MD Annapolis,Severn Sailing Association
  7  CAN8410  BUSH, CLARISSA  GILLIES, CHRIS               5    5    8    9    5    6    8    46.00   37.00  CAN QC AYLMER,BRITTANIA YACHT CLUB
  8  US7685   ALEXANDER, GRAHAM  RICHMOND, BRIAN          10    8   11   11    8    5    6    59.00   48.00  USA OH BLACKLICK,HOOVER YACHT CLUB
  9  US8013   HAMILTON, BROOK  Justin Kitney              11    6    7    6   14   10    9    63.00   49.00  CAN ON Chatham,RCYC
 10  7346     HAUSER, JOHN  COE, MIKE                      7   14   14   10   10    7    3    65.00   51.00  USA MD ANNAPOLIS,SEVERN SAILING ASSOCIATION
 11  CAN8767  BERTRAND, FRANCOIS-XAVIER  MOLIMARD, ALAIN   9   13   10    7    9   14  RAF    78.00   62.00  CAN QC VAUDREUIL-DORION,CLUB NAUTIQUE DEUX-MONTA
 12  BER7836  DECOUTS, DOUGLAS  Alex Mevay                13   10   13   14   11    4   12    77.00   63.00  USA MASS Boston,MITNA
 13  USA8624  STETSON, DAVID  YATES, STEVEN               14   12    9   13   13   13   11    85.00   71.00  USA OH COLUMBUS,HOOVER YACHT CLUB
 14  7796     ASHBY, DEBORAH  ADAMS, DAVID                12   11   12   12   15   12   14    88.00   73.00  CAN ON Ottawa,BRITANIA YC
 15  7793     SEIPLE, DAVE  Geoff Schaefer                15  DNF. DNF.  15   12   15   13   102.00   86.00  USA OH Hilliard,Hoover Yacht Club
