Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
FIN,8057,Kaj Lindfors,Johan Halonen,ASS,,8,1
FIN,8056,Raimo Raita,Antti Raita,Vene-71,,10,2
FIN,7922,Olle Martonen,Anders Sparv,WSF,,16,3
FIN,8320,Jari Mäkelä,Antti Jore,TaPS,,16,4
FIN,7824,Erkka Ikonen,Juha Nurmela,Vene-71,,20,5
FIN,7581,Mikael Nylund,Jan Ekman,WSF,,27,6
FIN,7699,Jesper Broo,Joakim Westerlund,ASS,,28,7
FIN,8582,Arno Parviainen,Sirkka Parviainen,HSK,,31,8
FIN,7809,Eero Niemitalo,Juha Kainua,N,,33,9
FIN,8405,Lauri Parviainen,Oskari Jääskeläinen,HSK,,33,10
FIN,7663,Kalle Mether,Peter Rönnberg,ASS,,43,11
