,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,Punkte,Pl.
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,1,1,1,1,,1
FRA,8541,Francis Doerenbecher,Alain Beltzung,CNS,2,2,3,4,,2
FRA,8676,Marcel Buffet,Antoine Victor,CVP,9,4,2,2,,3
FRA,688*,Veronique Dousselin,Jean-Pierre Peter,ACAL,3,3,7,9,,4
GER,8772,Ronald Roos,Gerald Roos,SVWu,7,6,4,6,,5
GER,8691,Günther Böckle,Frank Heimburger,SSCM,5,5,6,10,,6
GER,8418,Stefan Schollmayer,Christoph Klein,SCMSP,4,11,8,5,,7
FRA,8353,Robert Fossard,Jean-Marc Paquotte,SNBa,8,8,5,7,,8
GER,8473,Oliver Kraft,Andreas Goggel,SSCM,6,7,DNF,8,,9
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,11,10,DNF,3,,10
GER,8450,Jürgen Feuerhake,Timo Böckle,YCSb,10,9,DNF,12,,11
FRA,8688,Robert Lehmann,Bernard Edel,ACAL,12,12,9,11,,12
FRA,8301,Xavier Accoulon,Benoit Blaison,ASGV,13,13,DNC,13,,13
