FRA,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,points,place
FRA,,Hay Laurent,Gallo Pierre Jean,Y C ILE DE FRANCE,1,2,3,3,2,3,2,1,14,1
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,DNS,4,2,2,3,2,3,2,18,2
FRA,,Gubri Serge,Di Pede Thibault,JEUNESSE ET MARINE,2,1,4,4,4,5,DNC,RDG,26.9,3
FRA,,Silvestre Christian,,CVSQ,3,5,5,7,6,15,6,3,35,4
FRA,,Boite Philippe,Toupet Fabrice,C V DE MEAUX,DNC,3,1,1,1,1,6,DNC,41,5
FRA,,Guibbal Pierre,Guibbal Jean Louis,C Y V PARELOUP,6,13,9,8,5,6,13,19,60,6
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,DNS,8,6,6,7,4,OCS,5,64,7
FRA,,Dupont Jean Baptiste,Vallaud Christian,CV PARIS,DNS,18,8,5,8,12,11,8,70,8
FRA,,Lortat-Jacob Antoine,Beraud Bedouin Jean-Marc,C N FLOTTE EN RE,10,21,10,10,15,8,7,10,70,9
FRA,,Perrault Patrick,Roblin Ludovic,C.V.S.A.,DNS,12,7,16,14,10,8,6,73,10
FRA,,Nigon Erik,Jouany Marc,S R ROCHELAISES,DNS,6,11,DNC,13,9,4,4,75,11
FRA,,Aubin Pascal,Trihan Jean-Marc,C N PENESTIN,7,10,16,12,DNC,11,14,9,79,12
FRA,,Nouraud Daniel,Nouraud Leo,S R ROCHELAISES,11,20,12,11,11,17,15,11,88,13
FRA,,Veroul Frederic,Veroul Jean Jacques,C N VASSIVIERE,DNC,DNC,14,9,9,14,5,14,93,14
FRA,,Buffet Marcel,Trouillet Damien,CV PARIS,4,9,13,DNC,10,7,DNC,DNC,99,15
FRA,,Noclain Philippe,Noclain Jean Pierre,C V VALENCIENNES,DNC,DNC,17,13,12,13,9,12,104,16
FRA,,Lacombe Xavier,Martineau Guillaume,S R ROCHELAISES,DNC,7,15,14,DNF,DNC,10,7,109,17
FRA,,Poupon Philippe,Ursault Poupon Morgane,Saint Barth YC,5,11,21,18,23,18,17,23,113,18
FRA,,Muh Pierre,Rouanne Dominique,C.N. VIRY CHATILLON,DNS,23,19,15,18,16,12,16,119,19
FRA,,Boiry Michel,Ancelot Jean Claude,CV PARIS,12,17,22,17,22,19,20,15,122,20
FRA,,Blondy Bernard,Chabaud Roger,C V VALENCIENNES,8,14,DNC,21,20,21,22,22,128,21
FRA,,Mautin Christian,Chateau Luc,S R SARZEAU,13,22,20,DNC,17,22,16,21,131,22
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,DNS,19,23,22,21,20,18,13,136,23
FRA,,Gautier Francois,Thibaud Cyril,S R ROCHELAISES,9,DNC,26,20,16,24,23,20,138,24
FRA,,Noclain Jean Marc,Lesoil Lionel,C V VALENCIENNES,15,16,18,DNC,DNC,DNC,21,18,144,25
FRA,,Duquesne Laurent,Duquesne Philippe,S R ROCHELAISES,14,15,24,DNC,DNC,DNC,19,17,145,26
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,DNC,24,25,19,19,23,24,24,158,27
