Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,8622,Lutz Stengel,Frank Feller,ROYC,1,1,1,3,1
GER,8807,Morten Bogacki,Wolfgang Bogacki,DYC,2,2,2,6,2
GER,8665,Jens-Peter Schlomka,Urs Wihlfahrt,TSVS,3,6,6,15,3
GER,8507,Armin Eismann,Tino Käcks,SCA,5,5,5,15,4
GER,8625,Alex Cross,Falko Braun,SCR,4,4,8,16,5
GER,8657,Georg Neulen,Jürgen Waldheim,WYCA,6,7,7,20,6
GER,8385,Martin Bernauer,Ulf Geisler,CNFT,7,10,4,21,7
DEN,8826,Tom Bøjland,Uffe Andersen,Farum,DNC,3,3,22,8
GER,8652,Sebastian Dörr,Philipp Führer,HSC,8,8,11,27,9
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,11,9,9,29,10
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,9,14,10,33,11
GER,8253,Arwed Meyer,Harald Nowka,ZYC,10,13,12,35,12
GER,8527,Ulli Schütte,Birgit Hartmann,SGJ,12,12,13,37,13
GER,8530,Alexander von Mertens,Gerrit Haaland,StSC,13,11,15,39,14
GER,8128,Mathias Konrad-Schmolke,Katrin Konrad-Schmolke,SV03,14,DNF,14,44,15
