Nation,Numer na żaglu,Helm,Crew,Klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Rok,Punkty Suma,M-sce
POL,7957,Jakub Pawluk,Michał Redmerski,AZS PW,1,1,1,1,1,1,1,1,11 DNF*,8587,8,1
POL,8451,Bartosz Makała,Łukasz Skrzycki,YK STAL GDYNIA,3,2,2,*4,2,3,2,2,2,8080,18,2
POL,8416,Mirosław Majcher,Piotr Juckiewicz,YK STAL GDYNIA,4,*5,4,3,4,2,3,3,1,8666,24,3
POL,7669,Antonina Żółtowska,Piotr Żółtowski,AZS POZNAŃ,2,3,3,2,3,*4,4,4,3,8881,24,4
POL,7037,Łukasz Paszko,Jarosław Paszko,TEAM TCZEW,6,4,6,5,5,*7,5,6,4,9264,41,5
POL,8129,Konrad Plewa,Jerzy Plewa,ZKŻ ZBĄSZYN,5,*6,5,6,6,5,6,5,5,8000,43,6
POL,7012,Dariusz Rzadkowski,Krzysztof Rzadkowski,ZKŻ,11 DNF*,7,8,11 DNF,7,8,9,7,7,7876,64,7
POL,4752,Romuald Szykała,Bartosz Zimny,ZKŻ ZBĄSZYN,11 DNF*,8,7,11 DNF,8,9,8,11 DNF,11 DNF,5582,73,8
POL,7942,Igor Graczyk,Maciej Graczyk,NOWY TOMYŚL,11 DNF*,11 DNF,11 DNF,11 DNF,11 DNF,6,7,11 DNF,6,9175,74,9
POL,8483,Mariusz Michalski,Alina Limańska,YK STAL GDYNIA,11 DNF*,11 DNF,11 DNF,11 DNF,9,10,11 DNF,11 DNF,11 DNF,7885,85,10
