Country Sail No,Owner,Crew,,,,,,,,,Series Points,Series Place
USA 8854,Morgan Larson,Trevor Baylis,,1,2,1,3,3,3,103*,13,1
USA 8266,Howie Hamlin,Peter Alarie,,2,4,12*,6,7,7,5,31,2
USA 8714,Mike Martin,Jeff Nelson,,3,1,2,1,19*,18,10,35,3
USA 8762,Thompson,Zinn,,5,6,13,2,15*,6,8,40,4
GBR 8834,Pinnell,Hunt,,103*,23,4,5,10,2,3,47,5
AUS 8839,Higgins,Marsh,,12,12,9,15,8,1,17*,57,6
USA 8824,Beeckman,Glass,,8,3,21*,13,9,17,11,61,7
GER 8672,Kellner,Schoeler,,10,20,8,10,26*,10,4,62,8
USA 8792,Buchan,Buchan,,17,31,10,62*,1,4,6,69,9
AUS 8801,Chappell,Gill,,24,13,6,103*,14,16,7,80,10
USA 8822,Holt,Smit,,4,7,11,4,31,36*,26,83,11
USA 8680,Edwards,Shelton,,9,8,22,9,23,22,24*,93,12
AUS 8796,Higgins,Johnston,,15,10,5,12,29,29,41*,100,13
USA 7771,Taugher,Tripp,,22,24,7,26,13,60*,12,104,14
FRA 8802,Boite,Goerge,,25,103*,32,32,11,5,1,106,15
USA 8815,Renehan,Lanzinger,,26,14,28,25,5,8,31*,106,16
USA 7875,Miller,Bell,,7,17,103*,34,4,11,35,108,17
AUS 8809,Nathanson,Machin,,19,5,23,19,18,27*,25,109,18
GBR 8787,Scutcher,Diebitsch,,6,103*,29,7,37,25,18,122,19
USA 8554,Hagan,Park,,103*,15,26,14,21,33,14,123,20
GER 8843,Voelckner,Dehne,,11,27,19,30,22,37*,19,128,21
USA 8776,Meller,Falsone,,31,45,103*,18,16,13,9,132,22
USA 8715,Bixby,Boothe,,103*,9,30,43,6,9,36,133,23
USA 8081,Harris,Silverman,,41*,22,31,44,12,14,13,133,24
USA 8829,Moore,Sparkman,,33,29,36,27,2,12,38*,139,25
AUS 8853,Jackson,Nicholson,,28,33*,18,22,28,19,29,144,26
USA 8831,Poe,VonGrey,,27,38*,27,11,24,32,30,151,27
GER 8619,Findel,Tellen,,14,103*,17,16,34,51,22,154,28
USA 8631,Cox,Grange,,36,18,24,28,25,23,39*,154,29
CAN 8264,Boyd,Schell,,35,103*,16,23,27,21,34,156,30
CAN 8681,Brown,Fry,,30,40,34,31,17,44*,16,168,31
USA 8616,Chatham,McQueen,,32,16,46*,35,20,34,33,170,32
DEN 8440,Larsen,Andersen,,45,28,42,53,103*,20,2,190,33
USA 8722,Nelson,Schelter,,21,26,25,21,48,78*,51,192,34
USA 8830,Herlihy,Buttner,,13,49,41,24,74*,15,56,198,35
CAN 8698,Fowler,Fowler,,34,66*,37,41,40,26,20,198,36
GBR 8555,Walters,Cram,,20,103*,3,103,32,30,23,211,37
AUS 8840,Quirk,Showell,,48,47,14,54*,36,24,44,213,38
DEN 8826,Bojland,Christian Stormark,,43,42,44,37,59*,31,21,218,39
AUS 8813,Van Munster,McAllister,,49,19,35,36,55*,41,40,220,40
USA 8823,Oswald,Woelfel,,23,103*,50,8,33,55,66,235,41
USA 8808,Meyer,Jess,,46,46,15,56,78*,35,45,243,42
USA 8643,Harris,Saunders,,50,11,59,20,54,67*,53,247,43
USA 7156,Ross,Pearson,,71*,36,58,58,38,28,32,250,44
USA 8012,Amthor,James,,47,43,43,42,45,40,50*,260,45
USA 8411,Jenkins,Merino,,42,25,48,57,62,64*,28,262,46
USA 8731,Lieb,Smith,,44,37,40,29,72,48,65*,263,47
GBR 8552,Short,Short,,59,39,49,61*,51,53,15,266,48
GBR 8701,Napier,Bristow,,18,61*,38,52,65,57,43,269,49
GBR 8419,Turnbull,Lunn,,38,21,47,50,70*,63,58,277,50
AUS 8817,Lott,Franks,,53,44,33,39,75,46,62*,277,51
GBR 8836,Smith-White,Fulcher,,16,51,103*,17,60,38,103,285,52
AUS 8785,Burford,Cronin,,37,32,69,45,56,59,64*,293,53
AUS 8855,Duffield,Gaunt,,29,103*,53,49,69,47,47,294,54
USA 7092,Tihansky,Romey,,57,30,64,59*,57,42,49,294,55
USA 8084,Flam,Waterman,,67,103*,20,38,52,50,68,295,56
CAN 8192,Cragg,Cross,,40,35,63*,60,43,76,55,296,57
USA 6992,Wheeler,Mais,,61*,41,70,55,41,58,42,298,58
GER 8751,Oestergaard,Angela Stenger,,58,64,80*,64,30,43,48,307,59
USA 8660,Sloan,Nelson,,60*,55,55,65,39,45,54,308,60
AUS 8798,Stowell,Bailey,,39,50,61,48,46,103*,74,318,61
AUS 8811,Hansen,Attwell,,56,52,65,47,42,71*,67,329,62
AUS 8781,Alexander,Boulton,,52,53,39,46,79*,73,70,333,63
USA 8814,Robson,Jorgensen,,51,62,54,68,103*,39,59,333,64
USA 8790,Wyles,Beardsley,,73,103*,57,72,53,52,27,334,65
GBR 8726,Stainsby,Poston,,55,58,52,77*,71,49,52,337,66
USA 8838,Kahn,Estcourt,,64,34,76,51,49,69,73*,340,67
USA 8841,Kahn,Allen,,103*,103,51,33,67,68,37,359,68
CAN 8696,Ashby,Adams,,77*,56,75,74,47,54,61,367,69
GBR 8745,Pearson,Rainsborough,,54,59,60,67,66,61,78*,367,70
USA 6230,Thompson,Turney,,69,103*,79,75,35,70,46,374,71
AUS 8783,Kennedy,Greenhough,,103*,63,45,40,94,65,79,386,72
USA 8018,Hauser,Marini,,68,48,72,70,80*,79,60,397,73
USA 8857,Cristensen,Dunning,,103*,103,56,71,44,74,57,405,74
USA 7877,Anderes,Twardowski,,65,54,68,73,77,82*,71,408,75
USA 8778,Dietz,Hurwitch,,76,60,71,63,63,83*,82,415,76
USA 7774,Tara,Kolb,,103*,77,73,76,58,62,72,418,77
GBR 8708,Wedge,Allen,,62,103*,67,69,61,80,103,442,78
CAN 8755,Trainor,Oswald,,82,65,78,83,64,91,77,449,79
USA 6934,Grimes,Adler,,63,103,85,66,50,103*,83,450,80
GBR 8532,Clayton,Schlinter,,72,67,74,78,84,86,81,456,81
USA 6991,Nelson,Wood,,103*,76,83,84,73,84,80,480,82
FRA 8786,Guy,Gallo,,70,57,103*,103,76,75,103,484,83
USA 8593,Walford,Mott,,103*,68,82,86,83,77,89,485,84
AUS 8797,Robertshaw,Morris,,78,103*,62,103,68,72,103,486,85
USA 8821,Long,Long,,74,103*,77,79,88,87,84,489,86
USA 7093,Reynolds,Renda,,103*,73,81,103,85,81,69,492,87
GBR 8311,Bradly,Barnes,,103*,75,84,81,89,66,103,498,88
USA 7094,Lawson,Jensen,,79,71,92,80,99,89*,88,499,89
USA 6808,DeVita,Mildes,,75,69,87,82,97,99,103*,509,90
USA 8453,Sinclair,Elstrom,,80,103*,88,85,87,85,85,510,91
GBR 8835,Lake,Cram,,66,103*,103,103,82,56,103,513,92
USA 8577,Van Deventer,Weiler,,84,103*,94,89,81,90,76,514,93
GBR 8678,Berry,Berry,,103*,103,66,103,92,88,63,515,94
USA 7096,Staley,Burnard,,81,78,103*,103,90,92,75,519,95
CAN 7099,Davidge,Dechamplain,,103*,72,93,103,86,93,86,533,96
USA 7773,Billings,Billings,,103*,70,89,88,100,97,90,534,97
USA 8647,Henry,Zimmerman,,83,103*,90,87,91,98,87,536,98
GBR 8435,McGale,Tuck,,86,74,86,103*,96,96,103,541,99
USA 7110,Nelson,Tracy,,103*,103,91,103,93,94,91,575,100
USA 8756,Seiple,Schaefer,,85,103*,103,103,95,95,103,584,101
