Nation,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,points,place
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,1,1,1,1,1,1,1,4,1,1,8,1
FRA,,Nigon Erik,Jouany Marc,S R ROCHELAISES,2,2,2,3,2,DSQ,3,2,8,7,23,2
FRA,,Silvestre Christian,Le Mauguen Gael,CVSQ,10,3,3,2,3,8,8,1,2,5,27,3
FRA,,Chartier Jean Philippe,Brotschi Xavier,C Y V PARELOUP,3,4,7,4,5,5,2,10,5,4,32,4
FRA,,Gallo Pierre Jean,Riot Marc,C N E PAIMBOEUF,4,6,4,5,7,4,6,6,6,2,37,5
FRA,,Bleuez Loic,Roucayrol Frederic,Club Var Mer,9,11,6,9,11,6,7,3,3,3,46,6
FRA,,Roblin Ludovic,Bicler Julien,C N ROCHEFORTAIS,7,7,10,6,6,3,4,7,DNF,DNC,50,7
FRA,,Dupont Jean Baptiste,Vallaud Christian,CV PARIS,8,12,8,7,4,2,5,11,DNF,DNC,57,8
FRA,,Fossard Robert,Markt Philippe,S N BANDOL,13,10,14,10,13,9,9,5,4,6,66,9
FRA,,Guibbal Pierre,Chartier Simon,C Y V PARELOUP,5,5,5,11,10,7,10,13,DNC,DNC,66,10
FRA,,Di Pede Benjamin,Potel Tournemire Guillaume,C V SEINE-PORT,6,8,11,12,8,13,11,8,7,8,67,11
FRA,,Lacombe Xavier,Troger Philippe,S R ROCHELAISES,12,9,12,8,9,12,14,12,DNC,DNC,88,12
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,11,13,9,13,12,11,13,9,DNC,DNC,91,13
FRA,,Boiry Michel,Ancelot Jean Claude,CV PARIS,14,DNF,13,14,14,10,12,14,DNC,DNC,106,14
