Nation,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Pts,Pos
GBR,8834,Ian Pinnell,Steve Hunt,Hayling Island SC,1,1,2*,1,1,1,1,6,1
GBR,8743,Ian Barker,Ed Cox,Hayling Island SC,2,2,1,3,2,18*,4,14,2
GBR,8378,Martin Hodgson,Adrian Miles,Stone SC,3,12*,3,4,7,4,3,24,3
GBR,8419,Stuart Turnbull,Jason Lunn,Burton SC,5,4,7,6,8*,3,7,32,4
GBR,8685,Richard Sims,Simon Wood,Carsington SC,6,6,9,5,DNF*,6,6,38,5
GBR,8555,Charles Walters,Dougal Cram,Lyme Regis SC,9,8,4,2,5,15*,11,39,6
GBR,8552,Russell Short,Andrew Short,Rotherham SC,11*,5,11,7,6,7,9,45,7
GBR,8836,David Wood,Neil Fulcher,Stone SC,10,3,15*,11,10,11,5,50,8
GBR,8835,Richard Tew,Simon Lake,GW SC,4,9,16,12,9,5,DNC*,55,9
GBR,8774,John Webster,Robert Burdekin,Carsington SC,8,7,8,8,14*,13,12,56,10
GBR,8752,Chris Dando,Donald Sloan,Stone SC,12,10,6,9,11,12,16*,60,11
GBR,8701,Rob Napier,Matt Bristow,Bowmoor SC,7,DNF*,5,17,13,9,13,64,12
GBR,8773,Norman Byrd,Alex Davies,Draycote Water SC,13,11,14,13,15*,14,8,73,13
GBR,8694,Andy Williams,Andy Edmonds,Portishead Yacht&SC,DNF*,DNC,10,10,12,10,10,80,14
GBR,8787,Chris Turner,Christian Debitsch,Lyme Regis SC,DNC*,DNC,DNC,DNC,3,2,2,91,15
GBR,8474,Chris Thorne,Chris Romans,Portishead Yacht&SC,14,17,12,14,17,17,DNF*,91,16
GBR,8514,Ben Jones,David Thorpe,Tenby SC,15,13,18,22*,21,20,15,102,17
GBR,8678,Jim Berry,Richard Berry,Portishead Yacht&SC,16,15,20,18,19,22*,14,102,18
GBR,8331,Richard Lord,Ross Davies,Seahorse SC,19,14,19,15,18,19,DNC*,104,19
GBR,8493,Gareth Davies,Scott Jaycock,Stone SC,17,16,23,19,16,16,DNF*,107,20
GBR,7852,C Haworth,S Aston,Bristol C YC,DNC*,DNC,DNC,DNC,4,8,DNF,124,21
GBR,8556,David Ryder,Tony Merry,Blackwater SC,21,18,24,25,20,24,DNF*,132,22
GBR,8497,John Howlett,Dennis Cartwright,Burton SC,20,DNF*,13,16,DNF,DNF,DNC,133,23
GBR,8380,Colin Walters,David Guthrie,Lyme Regis SC,DNF*,DNC,25,24,22,21,17,137,24
GBR,8591,David Bell,Pete Ward,Burton SC,18,DNF*,17,20,DNF,DNC,DNF,139,25
GBR,8257,Miles Thomas,Colin Bradley,Draycote Water SC,DNS*,DNF,21,21,DNF,23,DNF,149,26
GBR,8432,Steve Sampson,Keith Norris,Felpham SC,DNF*,DNC,22,23,23,25,DNF,149,27
