Nat,SailNo,Helm,Crew,R1 24 Jul,R2 25 Jul,R3 25 Jul,Nett,Rank
USA,8266,Howie Hamlin,Jeff Nelson,2,1,3,6,1
GER,8903,Boris Herrmann,Julien Kleiner,1,8,1,10,2
GBR,8882,Ian Pinnell,Steve Hunt,3,4,6,13,3
GER,8728,Dietrich Scheder,Rainer Goerge,6,9,4,19,4
GBR,8743,Ian Barker,Mark Darling,5,5,9,19,5
USA,8883,Tyler Moore,Jesse Falsone,16,2,5,23,6
GER,8915,Hasso Plattner,Peter Alarie,10,6,11,27,7
GER,8875,Jens Findel,Johannes Tellen,13,7,8,28,8
FIN,8768,Penntti Matti,Otto Toivanen,9,10,13,32,9
USA,7200,Ali Meller,Mike Coe,20,3,10,33,10
AUS,8886,Michael Quirk,Geoff Lange,15,13,7,35,11
USA,8660,Ben Moon,Nick Nelson,12,17,16,45,12
GBR,8773,Andrew Smith,Norman Byrd,7,22,22,51,13
GBR,8835,Charlie Walters,Dougal Cram,17,20,14,51,14
GER,8686,Christian Niefert,Thomas Weber,25,11,17,53,15
USA,8831,Pierre Jeangirard,Paul Von Grey,22,12,21,55,16
GER,8671,Helen Fisher,Angela Stenger,4,31,23,58,17
AUS,8921,Nigel Lott,Bob Franks,21,24,15,60,18
USA,8722,Macy Nelson,Dustin Romey,23,18,24,65,19
GER,8880,Meike Schomaeker,Robert Rothe,19,29,19,67,20
GBR,8908,Mark Upton Brown,Ian Mitchell,8,59.0 DNF,2,69,21
AUS,8794,Michael Babbage,James McAllister,39,15,20,74,22
AUS,8781,Earle Alexander,Ian Gregg,26,21,31,78,23
GBR,8834,Russell Short,Andrew Short,11,35,34,80,24
GBR,8905,Stuart Turnbull,Jason Lunn,29,16,35,80,25
GBR,8914,Alex Cherry,Magnus Leask,18,37,27,82,26
GBR,8701,Rob Napier,Matt Bristow,24,32,30,86,27
GBR,8909,Christopher Dando,Donald Sloan,31,23,33,87,28
GBR,8836,Robin Brown,Neil Fulcher,DNC,19,12,90,29
GBR,8885,Ben Illiffe,Simon Lake,32,26,32,90,30
GBR,8881,Terry Scutcher,Christian Diebitsch,14,59.0 DNF,18,91,31
AUS,8840,Kevin Cameron,Jeremy Manders,35,27,29,91,32
GER,8418,Jan Sell,Stefan Schmidt,28,33,36,97,33
GBR,8741,Toby Dale,James Cole,40,30,28,98,34
GBR,8726,Martin Stainsby,Martin Grady,27,36,41,104,35
GER,8843,Jens Hufnagel,Lars Dehne,59.0 DSQ,25,25,109,36
USA,8790,John Wyles,Sol Marini,34,39,37,110,37
USA,8753,Ian McKeige,Douglas McKeige,38,34,38,110,38
IRL,8429,Michael Ennis, ,33,38,40,111,39
DEN,8826,Tom Bojland,Jakob Karbo,DNC,28,26,113,40
GBR,8678,Paul Davies,John Davies,36,40,39,115,41
FRA,8847,Michel Boiry,Jean Ancelot,30,44,45,119,42
ITA,8097,Marco Giraldi,Gabriele Cortegiani,43,41,44,128,43
USA,8631,Parker Shinn,Garreth Williams,59.0 DNS,14,59.0 DNF,132,44
GBR,8749,Alastair Milton,Laurence Milton,41,46,46,133,45
GBR,8907,Jim Berry,Richard Berry,44,43,47,134,46
GBR,8234,Shaun Seear,Stuart Curtis,46,48,49,143,47
FRA,8444,Pierre Guibbal,Simon Chartier,DNC,42,43,144,48
FRA,8748,Giles Carvallo,Claire Carvallo,DNC,47,42,148,49
FRA,8603,Jean Philippe Chartier,Alain Chartier,DNC,45,48,152,50
GBR,8650,Terry Selfe,Alan Montague,37,DNC,DNC,155,51
GBR,8869,Martin Wedge,Scott Allen,42,DNC,DNC,160,52
GBR,7544,Peter Halliwell,,45,DNC,DNC,163,53
GBR,8860,Kevin Holden,Tony Merry,47,DNC,59.0 DNF,165,54
GBR,8435,Patrick McGale,Alex Cull,DNC,DNC,DNC,177,55
GBR,8490,Ben Farren-Price,Pete Brooke Houghton,DNC,DNC,DNC,177,55
GBR,8514,Ben Jones,David Thorpe,DNC,DNC,DNC,177,55
GBR,8568,Brian Newlyn,David Williams,DNC,DNC,DNC,177,55
