Nation,Sail  ,Skipper  ,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Total  Points ,Pos 
USA,8714,Mike Martin,,,1,1,[28/DNF],1,1,1,3,1,2,[13],1,12,1
,8081,Nick Adamson,,,2,2,1,2,4,[5],1,3,1,[12],3,19,2
USA,7771,Kevin Taugher,,,4,[28/DNF],2,4,2,3,[7],7,4,3,2,31,3
GER,8889,Boris Herrmann,,,3,[7],3,3,6,4,2,[9],6,1,6,34,4
USA,8822,Mike Holt,,,[10],4,[28/DNF],5,3,2,4,2,3,10,4,37,5
USA,8554,Douglas Hagan,,,[8],5,7,6,5,[10],6,4,5,2,5,45,6
,8878,Hasso Plattner,,,6,3,5,7,7,[12],11,6,8,11,[13],64,7
CAN,8442,Steve Adolph,,,[21],11,6,[14],9,6,12,11,11,14,7,87,8
,8012,Henry Amthor,,,11,10,[12],11,8,8,10,12,10,[17],10,90,9
,8851,John Bergquist,,,[20],[16],9,12,13,15,9,8,12,4,9,91,10
,8731,Thad Lieb,,,12,12,10,[13],10,9,8,10,13,7,[18],91,11
USA,8084,Rob Waterman,,,13,9,8,8,12,13,13,[16],[14],6,14,96,12
,8823,Nigel Oswald,,,5,[28/DNF],11,[28/DNF],28/DNF,7,21,5,7,5,8,97,13
,868,Paul Vongrey,,,9,6,14,10,11,[28/DNF],14,13,9,[16],12,98,14
,8830,Andrew Buttner,,,7,8,4,9,14,11,5,15,[28/DNF],[28/DNF],28/DNF,101,15
,7156,Aaron Ross,,,16,14,13,[17],16,16,16,14,[17],8,11,124,16
,7873,Mark Dowdy,,,14,13,16,16,17,14,15,[20],16,[23],17,138,17
,8813,Matthias Kennerknecht,,,18,17,15,18,15,[21],19,17,15,20,[23],154,18
,7039,Reto Corfu,,,17,20,18,[28/DNF],[22],19,17,18,19,15,20,163,19
,8850,Doug Watson,,,[28/DNF],18,[28/DNF],19,20,20,20,28/DNF,18,9,19,171,20
,8781,Earle Alexander,,,[28/DNF],[28/DNF],28/DNF,15,19,17,18,21,28/DNF,21,15,182,21
,6934,Gary Grimes,,,23,15,20,21,23,18,[28/DNF],[28/DNF],28/DNF,19,16,183,22
USA,7152,Gary Lee,,,19,23,19,[28/DNF],[28/DNF],28/DNF,22,22,28/DNF,18,22,201,23
,8821,Katherine Long,Stephen Long,,[28/DNF],21,21,22,18,22,23,19,[28/DNF],28/DNF,28/DNF,202,24
,6991,Channing Hamlet,,,22,22,22,20,[28/DNF],[28/DNF],25,23,28/DNF,22,21,205,25
,8786,Hubert Guy,,,15,19,17,23,21,[28/DNF],[28/DNF],28/DNF,28/DNF,28/DNF,28/DNF,207,26
,6983,Sarah Mcnaboe,,,[28/DNF],[28/DNF],28/DNF,28/DNF,28/DNF,28/DNF,24,28/DNF,28/DNF,24,24,240,27
