Sail,Name Number,Date Surname,z,1,2,3,4,5,6,7,8,9,Score,PLACE
DEN 8923,Jorgen Bojsen-Moller,Jacob Bojsen-Moller,,3,1,*6,2,*10,1,3,1,1,12,1
DEN 8620,Jan Saugman,Morten Ramsbarle,,*7,*7,2,3,1,2,2,5,3,18,2
GER 8728,Meike Schomaker,Rainer Gorge,,*12,3,4,6,5,*19,4,2,2,26,3
GER 8940,Wolfgang Hunger,Holger Jess,,2,6,1,4,*17,4,5,6,*9,28,4
GER 8915,Borys Herrmann,Julien Kleiner,,6,4,3,1,*16,8,1,*DSQ,8,31,5
GER 8806,Lutz Stengel,Daniel Wehden,,9,*10,*12,10,3,3,6,7,7,45,6
GBR 8908,Jim Hunt,Norman Byrd,,*15,11,9,8,4,5,8,8,*DNF,53,7
GER 8862,Stefan Bohm,Gerald Roos,,5,18,5,7,2,*21,15,3,*DNF,55,8
AUS 8920,Michael Quirk,Pete Holden,,14,2,15,5,*21,7,12,*16,6,61,9
GBR 8835,Charlie Walters,Dougal Cram,,*DNF,5,10,18,*DNS,10,13,4,5,65,10
GBR 8882,Jan Pinnell,Carl Gibbon,,1,*19,11,12,7,11,16,18,*DNF,76,11
GER 8721,Malte Christophessen,Sebastian Salein,,20,*21,*21,15,8,9,14,9,4,79,12
GER 8580,Michael Seeger,Andreas Achterberg,,8,12,*29,9,6,6,21,*26,21,83,13
GER 8880,Christian Kellmer,Robert Rothe,,4,17,*27,17,*19,13,10,14,11,86,14
SUI 8729,René Betschen,Philippe Jacot,,13,*25,13,*DNF,13,12,9,22,10,92,15
GER 8916,Stefan Koechlin,Axel Priegann,,17,*23,7,14,14,15,17,10,*18,94,16
GER 8466,Volker Niediek,Stefan Heising,,16,9,*26,13,15,25,7,12,*DNF,97,17
GER 8666,Gunter Peters,Steffen Achenbach,,10,15,*20,11,12,20,*32,15,14,97,18
GER 8904,Jan Forster,Marcus Neuss,,*22,14,18,20,*22,22,11,11,19,115,19
DEN 8826,Tom Bojland,Jakob Karbo,,19,13,16,19,9,*DNF,*29,28,13,117,20
GBR 8935,Russell Short,Andrew Short,,18,8,*24,22,20,14,18,20,*25,120,21
GER 8775,Alexander Holzapfel,Carsten Engel,,*DNF,*30,8,16,11,23,20,21,24,123,22
GER 8686,Christian Niefert,Thomas Weber,,11,*32,22,*DNF,24,18,26,19,16,136,23
GER 8693,Micki Daisenberger,Florian Lautenschlager,,*DNF,16,25,27,18,*30,19,17,17,139,24
DEN 8828,Jon Andersen,Lasse Andersen,,25,*36,19,21,25,26,*28,13,20,149,25
GER 8825,Michael Troch,Eckart Konig,,21,*27,23,23,26,17,*27,27,15,152,26
GER 8843,Nicolai Volckner,Lars Derschotte Dehne,,23,29,36,*DNF,*DNS,16,40,23,12,179,27
FIN 8632,Jari Hamstrom,Tuomas Laurila,,24,28,*33,28,27,24,23,*29,26,180,28
ITA 8127,Marco Gambardella,Roberto Candela,,27,26,14,29,*DNF,33,*DSQ,33,23,185,29
GER 8929,Jürgen Waldheim,Martin Maal,,29,31,*35,31,28,32,22,*34,28,201,30
FIN 8320,Sampsa Hyysalo,Antti Salonen,,33,*34,34,24,*DNF,34,31,30,22,208,31
GER 8563,Stefan Schmidt,Hartwig Friederichs,,31,22,28,30,*DNS,28,34,35,*DSQ,208,32
GER 8874,Norbert Dasenbrook,Sven Meier,,*DNF,24,*DSQ,32,DNS,27,30,24,29,220,33
GER 8463,Frieder Achterberg,Arne Lanatowitz,,*DNF,*DNF,17,25,23,29,48,25,DNF,221,34
FIN 8746,Raimo Raita,Juha Nurmela,,*DNF,20,31,43,*DNF,31,35,31,31,222,35
GER 8550,Martha Hauschild,Michael Heyder,,28,33,30,38,33,*40,33,*42,39,234,36
FIN 8768,Jukka Nieminen,Jukka Hyvarinen,,*DNF,41,40,*DNF,31,36,25,36,32,241,37
GER 8933,Franciszka Unkelbach,Diethard Freye,,26,40,*43,35,*DNS,35,38,40,30,244,38
GBR 8925,Martin Wedge,Scott Allen,,*DNF,35,32,26,*DNS,DNF,36,32,33,248,39
BEL 8734,Geert De Pauw,Kowal Olivier,,30,38,*DNF,36,34,42,43,*DSQ,38,261,40
GER 8533,Bussenius Roger,Bussenius Robert,,*DNF,42,*DNF,41,30,37,42,43,27,262,41
GER 8607,Antje Paulsen,Bjorn Schaar,,*DNF,37,37,34,29,38,49,44,*DNF,268,42
