Sail,no.,Skipper,Crew,,,Place
GBR,8882,Pinnell Ian,Gibbon Carl,,,1
GER,8466,Nieder Volker,Heising Stephan,,,2
GER,8580,Seeger Micael,Achterberg Andreas,,,3
GER,8880,Kellner Christian,Rothe Robert,,,4
GER,8904,Forster Jan,Neuss Marcus,,,5
GER,8932,Filimonow Dirk,Stockmann Jars,,,6
GER,8901,Soellner Sophie,Stueckl Wolfgang,,,7
GER,8807,Unkelbach Franziska,Bogacki Wolfgang,,,8
FRA,8900,Gubri Serge,Di Pede Thibault,,,9
GER,8693,Daisenberger Micael,Lautenschlager Florian,,,10
GER,8916,Koechlin Stephan,Priegann Axel,,,11
SUI,8543,Bart Cedric,Marti Ueli,,,12
GER,8777,Schollmayer Stephan,Sanguino Frisco,,,13
GBR,8881,Scutcher Terry,Diebitsch Christian,,,14
GER,8721,Christophersen Malte,Salein Sebastian,,,15
SUI,8729,Stauffer Florian,Jacot Philipp,,,16
FRA,2,Gallo Pierre Jean,Toupet Fabrice,,,17
FRA,8705,Dupont Jean Baptiste,Legeai Jerome,,,18
GER,8751,Fischer Helen,Stenger Angela,,,19
BEL,8773,Van Loer Pieter,Froidmont Eric,,,20
GER,8928,Schultz Hendrik,Portelance Etienne,,,21
FRA,8870,Sylvestre Christian,Vallaud Christian,,,22
FRA,8270,Gachet Claude,Valery Kleber,,,23
GER,8825,Troch Michael,Konig Eckart,,,24
GER,8772,Roos Ronald,Roos Kirsten,,,25
SUI,8569,Betschen René,Ducommun Patrick,,,26
GER,8609,Holzapfel Alexander,Worm Stephan,,,27
LUX,8934,Kieffer Pierre,Tousch Jean Paul,,,28
FRA,8541,Doerenbecher Francis,Gastaud Jean Philippe,,,29
FRA,7941,Brenet Veronique,Peter Jean-Pierre,,,30
GBR,8925,Wedge Martin,Allen Scott,,,31
GER,8463,Achterberg Frieder,Lanatowitz Arne,,,32
GER,8672,Contag Carsten,Von Walter Guido,,,33
GER,8788,Lahrs Karsten,Gerdts Peter,,,34
FRA,8402,Bleuez Loic,Roucayrol Frederic,,,35
FRA,8400,Faucheux Florian,Faucheux Cedric,,,36
SUI,8079,Nydegger Lorenz,Nydegger Martin,,,37
FRA,8676,Buffet Marcel,Blanchard Philippe,,,38
GER,8654,Jaegersberg Nicolas,Hiltsher Wolgang,,,39
GER,8327,Frank Dirk,Kempf Stephan,,,40
FRA,8742,Noclain Philippe,Noclain Jean Pierre,,,41
FRA,8748,Jeanne Muriel,Carvallo Gilles,,,42
ITA,8743,Giraldi Marco,Corbellini Paolo,,,43
FRA,8847,Boiry Michel,Gougeon Matthieu,,,44
GER,8642,Greger Thoralf,Klein Christoph,,,45
FRA,8896,Martenot Christian,Lafortune Julien,,,46
SUI,8077,Houriet Catherine,Donze Gilles,,,47
GER,8720,Tasche Lennart,Tasche Frederik,,,48
GER,8712,Labenz Siegfried,Labenz Christian,,,49
POL,8622,Korneszczuk Michal,Krempec Krysztof,,,50
GER,8775,Engel Karsten,Neumeyer Tobias,,,51
FRA,8895,Devaux Mathieu,Dubuc Philippe,,,52
GER,8874,Waldheim Juergen,Wehden Daniel,,,53
GER,8579,Rentelman Hans Jurgen,Warckerbauer Peter,,,54
FRA,8752,Guillou Nicolas,Got Guillaume,,,55
FRA,8761,Riot Marc,Riot Geoffroy,,,56
FRA,8521,Guibbal Pierre,Guibbal Mathieu,,,57
GBR,8885,Iliffe Ben,Lake Simon,,,58
GER,8530,Von Mertens Alexander,Wiesbauer Pia,,,59
GER,8082,Markt Philippe,Markt Delphine,,,60
GBR,8907,Berry Jim,Barnes David,,,61
GER,8388,Wolffram Peter,Ottenschlager Stephan,,,62
FRA,8820,Lehmann Robert,Edel Bernard,,,63
FRA,8508,Plouviet Aurelie,Jungmann Jean-Marc,,,64
FRA,8567,Coulmin Pierre Jerome,Peter Vincent,,,65
FRA,8623,Daugey Gerard,Rouanne Dominique,,,66
GER,8674,Bohnenberger Pedro,Pieper Tortsen,,,67
FRA,8565,Ferec Alain,Guillot Eric,,,68
GER,7978,Wahler Alexandra,Kramer Michael,,,69
FRA,7929,Hermieu Jean Philippe,Bergreen Jessy,,,70
FRA,4664,David Denis,Dubruel Denis,,,71
FRA,8353,Verplanken Eric,Gresle Thierry,,,72
FRA,8301,Blaison Benoit,Pilleron Florian,,,73
FRA,8459,Banahan Lawrence,Fassio Thierry,,,74
FRA,6067,Molinier Bertrand,Surbier Adrien,,,75
