,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Rank
RSA,8481,Thomas Funke,Peter Funke,PSC,1,(4),2,1,1,2,4,1,(5),21,12,1st
RSA,8406,Graeme Willcox,Tiffany Baring-Gould,ZVYC,2 RDGa,1,3,(4),2,1,1,2,(4),20,12,2nd
RSA,8707,Albrecht Holm,Warwick Ham,PSC,2,3,1,3,3,(8),6,(9),2,37,20,3rd
RSA,8882,Hans Rogotzki,Alan Haylett,PSC,3,2,(6),(8),4,5,5,3,1,37,23,4th
RSA,8520,Bronwen Klaas,Dietmar Holm,PSC,6 RDGa,6,4,2,(8),4,7,7,(9),53,36,5th
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,7 RDGa,(10),5,7,7,3,(18 DNC),4,3,64,36,6th
RSA,8471,Dirk Rother,Eddie Forster,PSC,4,5,7,5,6,(18 DNC),(10),6,7,68,40,7th
RSA,8537,Steve Hegerstrom,Gregg Dobson,RNYC,6,(9),8,6,(18 DNC),9,3,5,8,72,45,8th
RSA,7525,Ivan Gibbons,Timothy Gibbons,BSC,8,(11),11,(18 DNC),5,10,2,10,6,81,52,9th
RSA,8789,Tony Murray,Karl Kuehn,PSC,5,8,(10),9,9,7,8,(18 DNC),10,84,56,10th
RSA,7608,Gregg Hurter,Ian Hogg,RNYC,7,7,9,(13),10,11,11,(18 DNC),12,98,67,11th
RSA,6707,Craig Teasedale,Craig de la Hunt,LDYC/DAC,13 RDGa,14,12,11,12,6,(18 DNC),12,(18 DNC),116,80,12th
RSA,8121,Kobus Holtzhausen,Henko Holtzhausen,PSC,14 RDGa,(18 DNC),15,14,11,12,9,11,(18 DNC),122,86,13th
RSA,7493,Mark Biagio,Faure Bosman,PSC,14 RDGa,12,14,10,(18 DNC),(18 dnc),18 DNC,8,11,123,87,14th
RSA,878*,Andrew Arthur,Edgar vd Wissel/Peter Norton,ESC,16 RDGa,16,16,15,15,(18 dnc),(18 DNC),13,13,140,104,15th
RSA,4437,Grant Ballantyne,Michael Ballantyne,VYC,16 RDGa,15,13,12,13,(18 DNC),(18 DNC),18 DNC,18 DNC,141,105,16th
RSA,8584,Craig Parker,Willem Bührman,PSC,9,13,17,(18 DNC),14,(18 DNC),18 DNC,18 DNC,18 DNC,143,107,17th
