Country Sail No,Helm,Crew,Category,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points (1 drop),Place
GBR 8960,Pinnell,Gibbon,Male,1,2,4,2,4,9*,13,1
USA 8762,Hamlin,Zinn,Male,56*,1,6,11,5,7,30,2
GER 8957,Hunger,Kleiner,Male,4,3,18*,6,15,12,40,3
DEN 8962,Bojsen-Moller,Bojsen-Moller,Male,5,15,3,54*,3,19,45,4
DEN 8964,Saugmann,Ramsbaek,Male,10,6,15,20,2,27*,53,5
USA 8714,Martin,Nelson,Male,6,18,35*,13,6,11,54,6
GER 8721,Christophersen,Salein,Male / under 25,7,9,12,41*,26,5,59,7
AUS 8817,Davis,Duffield,Male,12,4,27,8,28*,13,64,8
GER 8693,Daisenberger,Lautenschlager,Male / under 25,21,11,19,48*,16,2,69,9
GER 8651,Kellner,Scholer,Male,15,35*,20,7,23,4,69,10
AUS 8920,Quirk,Reffold,Male,45,(dnf),5,3,9,10,72,11
DEN 8826,Bojland,Friis,Male,9,29,1,18,61*,21,78,12
GER 8728,Schomaker,Gorge,Mixed,2,27,14,10,34,55*,87,13
GER 8927,Gorge,Rix,Male,29,7,31,21,1,48*,89,14
USA 8883,Moore,Falsone,Male,8,14,42,4,22,60*,90,15
SUI 8954,Stauffer,Jacot,Male,24,25,8,29,7,46*,93,16
GER 8875,Jens Findel,Johannes Tellen,Male,31,5,47*,40,18,1,95,17
AUS 8840,Cameron,Bowden,Male,30,(dnf),7,16,20,22,95,18
SUI 8543,Bart,Marti,Male,13,21,2,24,38,(dsq),98,19
GER 8947,Volker Niediek,Stefan Heising,Male,22,16,9,44*,25,26,98,20
USA 8715,Bixby,Boothe,Male,17,23,30,1,31,44*,102,21
USA 8830,Key,Buttner,Male,52*,26,32,12,19,15,104,22
GER 8751,Birkner,Angela Stenger,Female,11,10,24,39,(dsq),24,108,23
GER 8975,Scheder-Bieschin,Jess,Male,3,20,34,42,13,47*,112,24
USA 8919,Gosch,Mckeige,Male,34,19,25,9,29,40*,116,25
FIN 8466,Hyysalo,Salonen,Male,65*,12,11,26,27,43,119,26
ITA 8916,Ciferri,Natali,Male,38,13,40,15,21,53*,127,27
GBR 8835,Walters,Cram,Male,19,34,39*,31,30,14,128,28
GER 8958,Kochlin,Achterberg,Male,14,(dsq),21,36,50,8,129,29
GER 8807,Lehmann,Oehme,Male,23,41*,17,35,35,23,133,30
FIN 8923,Lindgren,Wolontis,Male,40*,36,13,19,32,34,134,31
GBR 8526,Bird,Nurse,Male,50,(dnf),28,37,17,6,138,32
USA 8937,Taugher,Bell,Male,54,(dnf),37,5,45,3,144,33
GER 8720,Tasche,Tasche,Male / under 25 / under 21,37,17,16,74*,11,68,149,34
GER 8672,Contag,Von Walter,Male,33,8,62,17,79*,32,152,35
AUS 8801,Chappell,Gill,Male,35,(dnf),22,34,10,59,160,36
IRL 8961,Barry,Dwyer,Male,18,24,52*,32,40,51,165,37
FRA 8900,Gubri,Di Pede,Male,25,30,46*,46,37,31,169,38
USA 8822,Holt,Edwards,Male,55,(dnf),45,33,46,18,197,39
GER 8669,Boger,Schoner,Male,47,(dnf),10,25,52,65,199,40
USA 7875,Miller,Smith,Male,67,22,89*,27,41,42,199,41
GER 8599,Duwe,Helms,Male,16,(dnf),44,47,53,41,201,42
GER 8580,Weigelt,Henning,Male,72*,33,49,59,39,25,205,43
FRA 8844,Broise,Des Jamonieres,Male,26,(dnf),33,65,36,45,205,44
GBR 8935,Short,Short,Male,20,37,36,49,70*,64,206,45
