,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
FRA,8270,Claude Gachet,Florian Fort,YCG,1,1,3,4,,1
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,2,2,1,6,,2
FRA,8885,Jean-Baptiste Dupont,Jerome Legeai,AS,3,6,2,3,,3
FRA,8847,Michel Boiry,Xavier Broise,CVP,6,4,6,1,,4
GER,8609,Alexander Holzapfel,Dirk Ipach,PSVK,4,3,4,5,,5
FRA,8676,Marcel Buffet,Guylain Marino,CVP,10,7,10,2,,6
FRA,8508,Aurelie Plouviet,Jean-Marc Jungmann,,8,5,7,10,,7
FRA,8*,Frederik Monnier,Laura Defossemont,,11,11,5,7,,8
SUI,8077,Catherine Houriet,Gilles Donze,,5,9,9,9,,9
FRA,8348,Mathieu Ingrand,Marie Agnes Catrix,,7,12,8,8,,10
FRA,7541,Wenceslas Dieuzy,Wojciech Butkiewicz,,9,8,12,13,,11
FRA,8347,Georges Chalandre,Michele Chalandre,,12,10,11,12,,12
FRA,8099,Philippe Machecourt,Antoine Machecourt,,13,13,DNF,11,,13
