,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8721,Sophie Heyer,Sebastian Salein,JSC,1,3,5*,1,5,1
GER,8956,Jan Forster,Marcus Neuß,SGaM,3,1,1,4*,5,2
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,5*,2,2,3,7,3
GER,8972,Ronald Roos,Kirsten Roos,SVWu,2,4*,4,2,8,4
GER,8670,Gerhard Engel,Renita Engel,YCSB,4,5,3,6*,12,5
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,7*,6,6,5,17,6
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,6,7*,7,7,20,7
GER,8418,Volker Weiß,Morten Roos,SVWu,8,8,9,10*,25,8
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,11*,9,8,9,26,9
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,10,12*,12,8,30,10
GER,7978,Alexandra Wahler,Michael Kramer,,9,11*,10,11,30,11
GER,8730,Enno Wilts,Ralf Mertens,SVBB,12*,10,11,12,33,12
