Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Rank
RSA,8481,P Funke,T Funke,TYC,3,(6.0),5,1,1,1,1,1,1,20,14,1st
RSA,8520,Rudolph Holm,Ferdinand Holm,PSC,2,1,4,3,(5.0),2,2,2,4,25,20,2nd
RSA,8091,David Rae,Ryan Pentolfe,ZVYC,4,2,8,4,3,3,(13.0 DNF),3,3,43,30,3rd
RSA,8445,K Klaas,R von Gruenewaldt,PSC,1,4,1,6,4,6,3,10,(13.0 RAF),48,35,4th
RSA,8406,Paul Wilcox,Richard Hutton Squire,ZVYC,7,5,3,5,6,(9.0),4,4,2,45,36,5th
RSA,8882,Steve Du toit,Hans Rogotzki,PSC,5,3,2,2,8,10,5,7,(13.0 DNC),55,42,6th
RSA,8471,Alexander Ham,Warwick Ham,PSC,6,7,6,8,2,5,6,(12.0),7,59,47,7th
RSA,8707,Albrecht Holm,Eddie Forster,PSC,8,8,7,7,(9.0),4,7,5,6,61,52,8th
RSA,8121,Kobus Holtzhausen,Henko Holtzhausen,BYC,9,9,9,(10.0),7,7,8,6,5,70,60,9th
RSA,4437,Grant Ballantyne,Mike Robb,VYC,12,12,10,9,12,8,9,8,(13.0 DNC),93,80,10th
RSA,7286,Sean Ballantyne,Finn Fitzsimmon,VYC,10,10,12,11,10,11,10,9,(13.0 DNC),96,83,11th
RSA,6756,Ruan de Hart,Willem Bouwer,VYC,11,11,11,12,11,12,11,11,(13.0 DNC),103,90,12th
