Nation,Sail #,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
USA,8714,Mike Martin,Paul Allen,,1,1,1,3,3,9,1
USA,8,Andy Beeckman,Paul Cayard,,3,2,4,5,4,18,2
USA,9002,Mike Holt,Carl Smit,,2,5,6,6,1,20,3
USA,8808,Nick Adamson,Steve Bourdow,,23,4,7,1,2,37,4
USA,8937,Kevin Taugher,Ben Benjamin,,4,3,2,7,23,39,5
USA,8680,Bruce Edwards,Dave Shelton,,5,8,3,2,23,41,6
USA,8987,Dave Chatham,Jon Bell,,6,7,10,15,6,44,7
USA,8681,Ryan Cox,Stuart Park,,23,6,5,4,8,46,8
USA,8192,Phil Cragg,Reto Corfu,,10,13,13,11,7,54,9
USA,8824,Jen Glass,Ben Glass,,13,14,16,12,5,60,10
USA,8831,Pierre Jeangirard,Paul Von Grey,,7,10,9,13,23,62,11
USA,7875,Jeff Miller,Mike Smith,,12,9,11,8,23,63,12
USA,7156,Aaron Ross,Rob Waterman,,11,11,12,10,23,67,13
USA,8930,Ted Ferrarone,Doug McKeige,,8,17,14,9,23,71,14
USA,8813,Steve Kleha,Mattias Kennerknecht,,9,15,15,23,10,72,15
USA,7877,Steve Anderes,Dave Matthews,,14,18,23,16,9,80,16
USA,887,Ted Conrads,Brian Haines,,23,12,8,14,23,80,17
USA,6983,Zhenya Kirushkin-Stepanoff,Kurt Hemmingsen,,16,16,17,23,23,95,18
USA,7110,Ryan Nelson,Soren Jensen,,15,20,23,23,23,104,19
USA,11,Sarah Deeds,Pete Trachy/Rob Grant,,17,23,23,23,23,109,20
USA,6992,Taylor Robinson,Casey Ketterling,,23,19,23,23,23,111,21
USA,6307,Ian O'Leary,Chris Burrelson,,23,23,23,23,23,115,22
