Nation,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Tot,Pl
USA,8953,Augie Diaz,Parry Barclay,,1,1,2,3,4,1,4,4,-6,5,25,1
USA,8930,Parker Shinn,Doug McKeige,,2,2,-11,2,6,2,3,3,3,6,29,2
USA,9003,Mike Martin,Jesse Falsone,,3,7,-8,4,2,4,2,8,1,2,33,3
,9042,JB Turney,Ned Turney,,7,6,5,1,1,3,-13,1,9,7,40,4
,9002,Mike Holt,Carl Smit,,6,-14,1,8,5,6,9,13,4,1,53,5
,8012,Henry Amthor,Dustin Romey,,9,5,7,9,8,5,5,-18,8,3,59,6
USA,8830,Ramsay Key,Drew Buttner,,8,9,6,13,-16,11,10,2,2,9,70,7
,7875,Jeff Miller,Pat Diola,,-13,3,10,5,7,12,8,11,11,4,71,8
CAN,8264,Jeff Boyd,Dave Adams,,4,-19,4,6,3,14,16,12,15,8,82,9
,7346,Craig Thompson,Ricky Turner,,-14,8,3,10,14,10,12,5,10,12,84,10
USA,8441,Katrin Deinhardt,Olav Schluter,,17,10,13,11,11,-18,7,6,11,11,97,11
,8821,Katherine Long,Stephen Long,,5,13,-16,14,15,8,6,9,14,14,98,12
,8919,Mike Komar,Russ Miller,,12,11,9,16,13,7,1,7,(24\DNF),24\DNC,100,13
,7606,Brendon Connell,Chris Brady,,-18,4,15,12,12,9,15,10,13,10,100,14
,8715,Lin Robson,Erik Boothe,,15,12,12,7,-18,17,11,16,12,16,118,15
,8194,Tom Kivney,Gordon Russell,,16,-21,18,19,19,13,14,17,5,11,132,16
,8850,Doug Watson,Gabe Watson,,11,20,20,15,10,15,-22,19,16,13,139,17
,715,Zack Marks,Mike Renda,,19,16,17,18,17,-21,18,15,17,18,155,18
,8753,Pierre Jeangirard,Loic Bleuez,,20,15,-21,17,9,20,20,20,18,17,156,19
,7605,Renka Gesing,Adam Gesing,,10,18,14,20,20,16,21,14,(24\DNF),24\DNC,157,20
,8939,John Wyles,Gareth Fletcher,,21,17,22,21,22,22,-23,23,7,15,170,21
,8600,Graham Alexander,Wes Harnish,,23,23,19,22,21,19,17,21,(24\DNC),24\DNC,189,22
,8822,Dave Burchfiel,Josh Gray,,22,22,23,23,23,23,19,22,(24\DNC),24\DNC,201,23
