Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,9043,Nicola Birkner,Angela Stenger,SVaW,1,1,3,2,9,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,2,2,1,3,3,,2
GER,8721,Sophie Heyer,Sebastian Salein,JSC,4,3,2,1,DNF,,3
GER,9020,Tim Böger,Wolfgang Stückl,HSC,3,4,9,4,1,,4
GER,8843,Helen Fischer,Lars Dehne,BYC,5,7,4,5,2,,5
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,11,5,5,8,4,,6
GER,9029,Jürgen Waldheim,Jan-Rolf Schmidt,PYC,6,15,6,6,8,,7
GER,8741,Jürgen Anton,Ulf Denecke,HSC,14,9,7,7,6,,8
GER,8550,Martha Hauschild,Michael Heyder,SCS,10,6,10,10,DNF,,9
GER,9027,Sven Dömges,Andreas Happich,ESV86,DNC,10,15,13,5,,10
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,8,16,11,9,DNF,,11
GER,8777,Philipe Fischer,Francisco Sanguino,VSaW,9,13,19,12,11,,12
GER,8563,Stefan Schmidt,Hartwig Friedrichs,SVSS,13,11,8,16,DNF,,13
GER,8530,Alexander von Mertens,Martin Maal,StSC,17,14,13,11,10,,14
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,7,12,16,14,DNF,,15
GER,8385,Martin Bernauer,Robert Brand,CNFT,20,19,12,15,7,,16
GER,8730,Iris Anton,Birgit Hartmann,HSC,15,17,17,18,DNF,,17
GER,8697,Wilfried Stuis,Thorge Holm,YCN,18,18,18,20,DNF,,18
GER,6817,Ralf Schneidewind,Armin Splisteaser,KSC,12,8,DNC,DNC,DNC,,19
GER,8654,Nikolaus Jägersberg,Moritz Theden,SCLW,DNC,20,14,17,DNC,,20
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,19,22,22,19,DNC,,21
GER,8991,Horst Sjuts,Thore Holm,SVSS,16,23,20,DNC,DNC,,22
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,21,21,21,DNC,DNC,,23
GER,8376,Peter Wichtrup,Tobias Frick,,DNC,24,23,21,DNC,,24
