Sailno,Name,,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Scores,No,
GER,8875,Findel Jens,Tellen Johannes,,,3,4,1,-24,1,47,1,1,17.6,1
GER,8651,Kellner Christian,Schöler Martin,,,2,1,4,2,-9,4,4,5,22,2
DEN,8964,Saugmann Jan,Ramsbæk Morten,,,-9,5,2,5,8,1,2,4,27,3
DEN,8962,Bojsen-Moller Jorgen,Bojsen-Moller Jacob,,,,,,,,,,,30,4
GBR,9032,Pinnell Ian,Mitchell Ian,,,,,,,,,,,44,5
IRL,8961,Barry Ewen,Dwyer Charles,,,,,,,,,,,44,6
,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,27
,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,33
FIN,8768,Nieminen Jukka,Lehtonen Kari,,,-51,38,33,32,31,29,31,27,221,34
FIN,8632,Hamstrom Jari,Laurila Tuomas,,,28,50,40,26,21,26,37,(dnc),228,35
FIN,8466,Hyysalo Sampsa,Salonen Antti,,,39,53,15,36,36,(dnc),28,26,233,36
,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,38
FIN,8873,Peltoniemi Ari,Elovirta Tapani,,,-49,41,31,42,35,37,35,43,264,39
,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,42
FIN,8320,Lindfors Kaj,Miettinen Tatu,,,43,48,29,41,34,31,(dnc),dnc,285,43
,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,59
