Nation,Sail NO,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Pos
USA,8714,Mike Martin,Rob Woelfel,,1,1,[11/DNF],2,1,2,7,1
USA,8834,Mike Holt,Carl Smit,,3,[5],3,1,2,1,10,2
USA,7875,Jeff Miller,Stuart Park,,2,2,1,[3],3,3,11,3
USA,7156,Aaron Ross,Rob Waterman,,4,3,4,5,[6],4,20,4
USA,8813,Steve Kleha,Matthias Kennerknecht,,6,4,2,[7],4,5,21,5
USA,8829,Eben Russell,Jay Miles,,5,6,5,4,5,[11/DNS],25,6
USA,7877,Steve Anderes,Mike Jue,,[7],7,7,6,7,6,33,7
USA,7069,Christopher O'Leary,Christopher Burlson,,9,[11/DNS],6,8,9,7,39,8
USA,6984,Antoine Laussu,Alexandre Laussu,,8,8,[11/DNF],9,8,8,41,9
USA,6632,Jake Muhleman,Oscar Jasklowski,,10,[11/DNS],11/DNS,10,10,11/DNS,52,10
