Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
USA,8762,Howard Hamlin,,BLUE BOAT,2,1,1,3,2,1,1,11,1
USA,8681,Stuart Park,,Park Miller LLC,4,4,4,4,1,2,3,22,2
USA,9115,Mike Holt,,IO Integration,1,2,2,5,5,4,6,25,3
USA,8714,Mike Martin,,Black Boat,5,3,6,6,3,3,4,30,4
USA,8878,Edward Conrads,,IBIGCUHI,3,5,7,1,8,8,7,39,5
USA,7152,Gary Lee,,Team Old Age and Treachery,6,10,3,2,7,7,13,48,6
USA,9009,Bruce Edwards,,Dangerous Obsession,10,6,5,7,15,9,2,54,7
USA,8438,Amie Huebner,,YEAH BOAT,9,12,9,8,4,14,5,61,8
USA,8084,Rob Waterman,,88th Planet,8,7,12,9,6,6,15,63,9
USA,8558,Mark Folkman,,Thor,16,9,10,10,9,5,9,68,10
USA,8995,Rob Sjostedt,,A Question of Balance,7,8,8,13,11,13,10,70,11
USA,6991,Channing Hamlet,,High Maintenance,12,13,11,11,10,12,8,77,12
USA,808*,Jake Muhlman,,OL' BLUE,14,14,15,12,12,11,12,90,13
USA,6931,Bill McKinney,,Fever Pitch,11,11,13,18/DNF,16,10,14,93,14
USA,7069,Ian O.Leary,,Tiburon,15,16,14,14,14,15,11,99,15
USA,6984,Antoine Laussu,,Animal Cracker,13,15,16,15,13,16,16,104,16
