Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
USA,9007,Tyler Moore,,License to Kill,1,1,[2],1,1,2,1,1,8,1
USA,8930,Ted Ferrarone,,USA 8930,2,[5],1,2,2,1,3,2,13,2
USA,8831,Esdom LDa,,LDa,[9],7,3,3,4,5,4,5,31,3
USA,8631,Parker Shinn,,BlueSteel,3,3,10,9,[12],3,6,3,37,4
USA,7606,Brendan Connell,,Battleship,[11],2,11,5,8,4,2,6,38,5
USA,6985,Michael Breton,,No Surrender,7,[9],5,7,3,6,7,4,39,6
GBR,8852,Larry Ehrhardt,,Traveller,6,4,4,6,5,9,11,18/DNS*,45,7
USA,89*,Whit Duncan,,BER,5,6,6,[12],9,8,5,8,47,8
USA,8018,Sol Marini,,Marini,10,[13],8,4,6,7,10,7,52,9
USA,8441,Katrin Deinhardt,,8441,4,10,9,11,7,10,8,18/DNS*,59,10
USA,8939,John Wyles,,Silver Seahorse,8,11,[16],10,11,11,9,9,69,11
USA,7153,Eric Horrocks,,Gutterballs 2,14,14,7,8,13,15,12,18/DNS*,83,12
USA,8951,Christian Rasmussen,,8951,12,8,13,18/DNC*,14,12,14,11,84,13
USA,8931,Joerg Esdorn,,Duesentrieb,18/DNS*,18/DNS,12,13,10,13,13,10,89,14
USA,8261,Mark Linker,,8261,15,12,[17],14,15,14,15,12,97,15
USA,8645,Thomas Hurwitch,,Meri,13,18/DNC*,14,18/DNF,18/DNC,18/DNC,18/DNC,18/DNC,117,16
USA,8883,Keith Longson,,Gray Ghost,16,15,15,18/DNF,18/DNC,18/DNC,18/DNC,18/DNC,118,17
