Boot,,Steuermann,Vorschoter,Club,Platzierungen1,Platzierungen2,Platzierungen3,Platzierungen4,Platzierungen5,Punkte,Pl.
GER,8875,Jens Findel,Johannes Tellen,KYC,1,1,1,1,DNC,,1
GER,9070,Stefan Köchlin,Thomas Jung,SKF,DNF,3,2,5,1,,2
DEN,8964,Jan Saugmann,Martin Görge,HiS,4,4,4,2,2,,3
GER,8929,Tom Gosch,Rolf Meyer,ENSFV,3,2,3,OCS,4,,4
GER,8806,Lutz Stengel,Frank Feller,ROYC,2,5,5,OCS,5,,5
GER,9043,Nicola Birkner,Angela Stenger,SVaW,5,6,8,8,3,,6
GER,8988,Oliver Thies,Axel Priegann,,6,7,6,6,10,,7
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,9,11,DNC,4,6,,8
AUS,9028,Earle Alexander,Arne Lanatowitz,RQYS,10,8,9,10,9,,9
GER,8903,Steve Kwee,Thorsten Spötter,HSC,7,12,10,9,11,,10
GER,8741,Jürgen Anton,Ulf Denecke,HSC,8,9,12,11,DNC,,11
GER,8989,Andreas Jungclaus,Thomas Tschentscher,HSC,DNC,DNC,7,7,8,,12
GER,8550,Martha Hauschild,Michael Heyder,SCS,12,10,11,12,DNC,,13
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,DNF,DNC,DNC,3,7,,14
DEN,8828,Michael Wonterghem,Fabiola Wonterghem,SoSe,11,DNC,DNC,13,12,,15
GER,8317,Christina Burger,Gerrit Haaland,WSCW,DNF,DNC,DNC,DNC,13,,16
