Naton,Voile,Barreur,Equipier,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Rang
SUI,8954,Monnard Jean-Marc,Jacot Philippe,,4,2,2,1,1,2,1,21 BFD*,1,35,14,1
SUI,9096,Bart Cedric,Grob Laurent,,1,1,1,-5,2,3,3,2,2,20,15,2
FIN,9069,Hamstrdm Jan,Lauda Tuomas,,2,-12,3,4,5,5,5,4,3,43,31,3
SUI,8614,Stauffer Ronan,Jacot Valery,,6,4,-13,3,4,4,4,7,4,49,36,4
FRA,8773,Heyer Sophie,Corwersy Gael,,-18,5,6,2,10,1,9,6,8,65,47,5
SUI,8569,Betschen Rene,Hollinger Lionel,,8,9,5,7,6,-12,2,1,10,60,48,6
FRA,9024,Gachet Claude,Valery KlCber,,3,7,4,8,3,6,21 DNF*,9,9,70,49,7
FRA,8909,Doerenbecher,Wolff Philippe,,10,10,9,9,-16,8,8,3,5,78,62,8
FRA,8847,Agrapart Muriel,Agrapart Franck,,7,8,8,6,8,11,-14,8,7,77,63,9
SUI,8613,Marti Usie,Ducommun Patrick,,13,3,7,17,9,14,6,21 DNF*,6,96,75,10
SUI,9060,Houriet Catherine,Donze Gil,,5,6,10,12,-13,7,12,13,11,89,76,11
BEL,9066,De Pauw Geert,Jourown Koen,,9,13,11,15,14,9,10,14,21 DNS*,116,95,12
GER,8843,Kraft Olivier,Heimburger Frank,,21 DNS*,21 DNS,15,14,11,10,7,5,13,117,96,13
FRA,8961,Utiger Toni,Schliebs Volkmer,,11,14,12,10,7,21 DNF*,13,12,21 DNS,121,100,14
FRA,9056,Bleuez Lcic,Roucayrd Frederic,,14,-16,16,11,12,13,11,11,12,116,100,15
FRA,8509,Le Morvan Bastian,Nowak Marie,,15,-17,14,16,15,15,15,15,14,136,119,16
FRA,8711,Maupay Jerome,Carninede Francois,,12,11,17,13,21 DNF*,16,21 DNS,21 DNF,21 DNS,153,132,17
FRA,8748,Carvallo Gilles,Carvallo Samuel,,17,18,19,21 DNF*,18,17,21 DNS,10,15,156,135,18
GER,8415,Neugart Elmer,Neugart Markus,,16,15,18,18,17,21 DNS,21 DNS,21 DNS,21 DNS,168,147,19
FRA,8276,Jaecky Gregor,Roussie Romanic,,21 DNS*,21 DNS,20,21 DNF,19,21,16,21 DNF,21 DNS,181,160,20
