palce,helm,crew,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,total
1,Augie Diaz,Fritz Lanzinger,1,DNF*,1,1,1,1,1,1,1,1,9
2,Mike Holt,Dustin Romey,4,5,2,3,4,7*,2,2,2,5,29
3,Parker Shinn,Doug McKeige,3,2,5,2,2,4,3,6,8*,4,31
4,Mark Zagol,Drew Buttner,2,7*,4,4,5,3,6,4,4,2,34
5,Ethan Bixby,Mike Coe,7,1,6,8*,6,2,5,3,3,7,40
6,|Matt Barry,lomas Barrows,5,8,10*,6,3,5,4,5,5,6,47
7,Macy Nelson,esse Falsone,DNF*,3,7,10,8,8,9,7,6,3,61
8,Zach Marks,Will Feder,6,4,3,5,DNS*,12,7,9,12,13,71
9,Lin Robson,Matthias Kennernecht|,9,9,8,7,7,9,10*,8,7,8,72
10,Jim Englert,Brian Huntsman,10,6,9,9,9,10,11*,10,10,10,83
11,Bill Beardslee,John Dohan,11,10,12,11,11,6,13*,12,11,11,95
12,Katrin Deinhardt,Olav Schlueter,8,14,DNF*,15,14,14,8,11,9,9,102
13,Bryan Richardson,Matt Schoene,14,13,11,14,10,11,12,13,14,15*,112
14,David Burchfiel,Andy Forman,12,12,13,13,12,13,15*,14,13,14,116
15,John Wyles,Andreas Schlueter,12,11,14,12,14,14,14,15*,15,12,118
