Land,Segel_Nr,Steuermann,Vorsch.,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Rang
GER,8806,Lutz Stengel,Frank Feller,RoYC,-1,1,1,1,1,4,1
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,2,3,-5,3,2,10,2
GER,8988,Jens Olbrysch,Oliver Thies,HSC,3,-6,3,5,3,14,3
GER,9111,Andreas Jungclaus,Thomas Tschentscher,HSC,5,2,6,2,-7,15,4
GER,8875,Jürgen Anton,Ulf Denecke,HSC,4,4,4,-9,4,16,5
GER,9046,Tom Gosch,Antje Gosch,WSCW,(DNF),5,2,4,8,19,6
GER,8947,Ralf Schneidewind,Oliver Schürmann,SLRV,9,-10,8,6,6,29,7
GER,8550,Martha Hauschild,Michael Heyder,SCSeddn,8,8,7,8,-9,31,8
GER,8903,Steve Kwee,Hans Werner Steding,HSC,6,7,-11,11,11,35,9
GER,8437,Davina Schlesinger,Marvin Schlesinger,MSC,7,11,10,-14,12,40,10
GER,8500,Katharina Menge,Arne Lanatobitz,OSG,12,9,9,10,-14,40,11
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,(DNF),DNF,12,7,5,43,12
GER,8458,Anika Kebreau,Raik Wollenbecker,YCBG,10,12,(DNS),12,10,44,13
GER,8463,Friedrich Schropsdorff,Florian Rheimheimer,VSaW,11,(DNF),DNS,13,13,56,14
GER,8989,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,13,(DNF),DNS,17,17,66,15
GER,8522,Henning Oberbeck,Simon Blessing,HSC,(DNF),DNF,DNS,15,15,68,16
GER,7764,Nicole Stoffels,Daniel Kreischer,OSG,(DNF),DNS,DNS,16,16,70,17
GER,8317,Christina Burger,Anke Meyer,ZSK,(DNF),DNF,DNS,DNS,DNS,76,18
