Numer na iaglu,Sternik,Zafogant,Klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Nett,Miejsce
GER 9131,Rafał Sawicki,Holger Jess,YKP Gdynia,1*,1,1,1,1,1,1,26 OCS*,6,1
POL 9119,Bartosz Makała,Łukasz Skrzycki,YK Stal Gdynia,2,2,2,2,3*,2,2,8*,12,2
GER 9054,Anika Kebreau,Raik Wollenbecker,YCBG,8*,3,4,8*,7,8,5,1,28,3
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YK Stal Gdynia,4,4,8*,4,8,3,6,9*,29,4
POL 8736,Jarosław Grabowski,Michał Olko,YK Stal Gdynia,3,5,11*,6,5,5,8*,7,31,5
POL 8217,Jakub Kręciwilk,Wojciech Denderski,prywatny,6,8,3,14*,10,6,11*,4,37,6
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,7,7,7,3,6,11*,7,10*,37,7
GBR 9006,Welf Rehberg,Benjamin Gröger,VBS,9,10,26 DNF*,26 DNC*,4,4,9,2,38,8
POL 9120,Jakub Pawluk,Michał Redmerski,AZS PW,26 DNS*,6,5,9,9,26 OCS*,4,6,39,9
POL 8358,Karol Milewski,Bartosz Milewski,Marketing Wizards,5,9,6,5,14*,13,3,26 OCS*,41,10
POL 7942,Mieczysław Szwed,Piotr Kosobucki,Centrum Zeglarskie,12*,12,14*,11,2,7,10,3,45,11
POL 8802,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,11,11,21*,10,12*,12,12,5,61,12
POL 5350,Adam Kuczyński,Andrzej Borowiak,ZKZ Zbaszyri,10,13,9,7,16,21*,21*,18,73,13
POL 8665,Marcin Panek,Przemysław Rzepecki,prywatny,17*,19*,13,15,11,9,16,12,76,14
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,WKZ,22*,15,12,12,15,15,13,16*,82,15
POL 8129,Paweł Kluczyński,Konrad Plewa,ZK2 Zbaszyri,15,14,16,16,13,19*,26 OCS*,11,85,16
POL 8208,Piotr Rzepecki,Paweł Prus,YKP Warszawa,16,17*,15,13,19*,10,15,17,86,17
POL 8057,Piotr Rzezak,Aleksandra Mruk,prywatny,13,16,10,21*,21,18,22*,14,92,18
POL 7669,Antonina Żółtowska,Piotr Żółtowski,SKZ Ergo Hestia Sopot,14,20*,22*,18,18,14,14,15,93,19
POL 7037,Adam Domżalski,Łukasz Paszko,prywatny,21*,18,18,19,17,17,20*,13,102,20
POL 9015,Igor Graczyk,Maciej Graczyk,ZS UEP/ZKZ Zbaszyri,19,23*,17,20,22,16,17,26 DNF*,111,21
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,8,22*,20,17,20,26 OCS*,19,19,113,22
POL 1,Jakub Jankowski,Franciszek Badowski,Spojnia Warszawa,20,21,19,26 DNF*,23,20,26 DNC*,26 DNC*,129,23
POL 8751,Krzysztof Osiak,Mateusz Wujec,prywatny,24*,24,23,22,24,26 OCS*,18,20,131,24
POL 6867,Andrzej Kubiak,Marek Milewski,prywatny,23,26 DNF*,24,23,25,22,23,26 OCS*,140,25
