Nation,Sail No,Helm,Crew,CLUB,R1,R2,R3,R4,R5,R6,R7,R8,Pts,Pos
USA,9072,Mike Holt,Rob Woelfe,,2,2,1,3,1,‑12,1,(DNF),10,1st
GBR,9088,Andy Smith,Tim Needham,,1,1,2,1,‑4,3,4,(DNF),12,2nd
GBR,9104,Alex Barry,Adam Kenney,,4,‑8,3,2,2,‑8,8,1,20,3rd
GBR,9094,Ian Pinnell,Daniel Cripps,,3,3,4,‑7,‑12,5,2,7,24,4th
GBR,8963,Martin Hodgson,Adrian Miles,,5,4,(DNC),(DNC),9,1,5,2,26,5th
GBR,9124,Vincent Hurey,Christian Diebitsch,,‑7,6,6,5,6,‑9,3,4,30,6th
GBR,9093,Owen Tudor,Keith Boarders,,6,7,7,4,‑11,2,‑11,8,34,7th
GBR,9126,Matt Hart,Tim Linsell,,(DNC),(DNC),5,9,7,6,7,3,37,8th
GBR,8835,Charlie Walters,Dougal Gram,,‑10,5,8,8,10,4,‑13,6,41,9th
GBR,894,Ben Iliffe,Richard Nurse,,8,(DNF),9,6,8,11,‑12,5,47,10th
GBR,9002,Peter Bennett,Andy Phillips,,9,(DNF),‑10,10,3,7,10,9,48,11th
GBR,9125,Roger Deane,Tim Williams,,12,11,12,‑15,5,10,6,‑13,56,12th
GBR,8381,Terry Scutchy,Mark Patterson,,11,9,(DNC),‑18,16,13,9,11,69,13th
GBR,8887,Paul Davies,John Davies,,15,(DNF),13,11,15,‑18,14,12,80,14th
GBR,8650,Terry Selfe,Alan Montague,,13,10,15,‑19,13,16,‑17,15,82,15th
GBR,8860,Bobbie Johnson,Tony Merry,,(DNF),(DNC),14,13,17,14,15,10,83,16th
GBR,8925,Martin Wedge,Scott Allen,,(DNF),(DNC),11,12,18,17,16,14,88,17th
GBR,8432,Russell Wheeler,Lee Marriott,,14,12,(DNF),14,‑19,19,18,16,93,18th
GBR,9013,Phil Emery,Dan Spratling,,16,(DNF),16,17,14,15,(DNC),DNC,101,19th
,8699,Luke Draper,Bruno Vaniekaut,,17,13,17,16,(DNF),(DNC),DNC,DNC,109,20th
,698,Mike Arnold,Geoff Hunt,,(DNC),(DNC),19,DNC,20,20,19,17,118,21st
,1317,David Oakley,Chris Baker,,18,(DNC),18,(DNC),21,21,DNC,DNC,124,22nd
