Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Position
USA,8830,Tracy Smith,Tim Collins/Andrew Buttner,,2,1,1,1,1,1,[3],7,1
USA,8854,Craig Thompson,Michael Curtin,,1,2,2,3,[4],3,2,13,2
CAN,9005,Thomas Kivney,Gordon Russell,,3,3,[4],2,2,4,1,15,3
USA,8987,Peter Scannell,John Dunlea,,[12/DNC],7,3,5,3,2,5,25,4
USA,8821,Michael Komar,Carson Turowski,,4,5,5,[7],5,5,6,30,5
USA,8808,Ben Greenfield,John Ingalls,,[12/DNC],4,10,6,8,6,4,38,6
USA,7773,Duane Delfosse,Sol Marini,,6,6,6,[8],6,8,8,40,7
USA,6985,Michael Breton,,,7,[9],9,9,7,7,7,46,8
USA,8184,Whit Duncan,,,5,[10],8,10,9,9,9,50,9
USA,8939,John Wyles,Gareth Fletcher,,[12/DNC],11,7,4,10,10,10,52,10
USA,8767,Dylan Breton,Kelly Shea,,8,8,[12/DNC],12/DNC,12/DNC,12/DNC,12/DNC,64,11
