Salino,Name !Storn,'I,2,3,,No,,
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal Gdynia,1,1,3,5,1
POL 1000,Jakub Pawluk,Marcin Józefowski,KS Spójnia Warszawa,2,2,1,5,2
POL 8416,Agnieszka Skrzypulec,Adam Kominek,PSK 505,3,3,5,11,3
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZMKS Poznań,11,5,2,18,4
POL 8665,Marcin Panek,Jan Walczak,YK Stal Gdynia,8,7,4,19,5
POL 9132,Przemek Zagórski,Michał Olko,YK Stal Gdynia,10,4,7,21,6
POL 8437,Ewa Szyfter,Kacper Kaczmarek,AZS Poznań,9,8,9,26,7
POL 8493,Mieczysław Szwed,Konrad Plewa,Centrum Żeglarskie Szczecin,14,10,6,30,8
POL 8802,Dominik Ostrowski,Jan Siekierzyński,SWOS Warszawa,4,6,UFD,31,9
POL 8217,Jakub Kręciwilk,Wojciech Denderski,PSK 505,13,9,10,32,10
POL 8909,Jan Domański,Konrad Małachowski,KPMG Sailing Team,6,OCS,8,35,11
POL 9023,Sławomir Plichta,Piotr Juckiewicz,YKP Stal Gdynia,12,13,11,36,12
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,15,12,13,40,13
POL 8145,Jakub Kozanko,Michał Wdówka,Ericsson Ericpol,17,11,15,43,14
GER 8806,Anna Hauschild,Enno Wits,S.C. Seddine,7,16,DNS,44,15
POL 7942,Anna Zabłocka,Michał Prończuk,21KS Poznań,19,15,12,46,16
POL 8656,Emanuela Bartkowiak,Mateusz Wolszczak,YK Stal Gdynia,18,14,14,46,17
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,5,RET,DNF,47,18
POL 8770,Michał Ruciński,Jakub Gąsiorowski,YK Stal Gdynia,16,17,DNF,54,19
POL 8358,Maciej Goździk,Przemysław Kukułowicz,PSK 505,20,18,DNF,59,20
