Nation Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Total,
USA 9088,Riley Gibbs,Reeve Dunne,ABYC,2,4,2,9*,1,2,4,5,5,9*,25,1
USA 9080,Howard Hamlin,Jeff Nelson,NHYC / ABYC,9,3,3,2,2,3,2,4,10*,11*,28,2
USA 9173,Tyler Moore,Rob Woelfel,HYC/WYC/CYC,10*,2,11*,4,5,1,3,2,6,10,33,3
USA 9106,Mike Martin,Adam Lowry,StFYC,1,1,9,11,18*,6,1,1,9,14*,39,4
USA 9115,Mike Holt,Carl Smit,Santa Cruz YC,4,6,6,1,8*,7,6,3,14*,7,40,5
USA 8792,Carol Buchan,Carl Buchan,Corinthian Yacht Club/Seattle YC,6,16*,5,7,4,11,12*,11,2,2,48,6
USA 8830,Mark Zagol,Andrew Buttner,New England Science and Sailing,5,12,4,6,6,4,5,13*,15*,8,50,7
USA 8815,Dalton Bergan,Fritz Lanzinger,Seattle Yacht Club,8,7,7,12*,10,10,8,6,25*,3,59,8
USA 8681,Kevin Taugher,Stu Park,Alamitos Bay YC,12*,5,12,10,7,5,11,7,19*,5,62,9
USA 9042,JB Turney,Tommy Fink,StFYC,7,10,10,8,9,8,16*,16,3,35*,71,10
USA 8824,Jennifer Glass,Benjamin Glass,Seattle Yacht Club,17,13,1,21*,13,19*,9,8,4,13,78,11
USA 8831,Parker Shinn,Paul Von Grey,SDYC,3,9,13,13,11,13,7,15*,13,34*,82,12
USA 8854,Craig Thompson,Michael Curtin,Kittery Point Yacht Club,13,11,17*,5,14,12,13,10,12,30*,90,13
USA 9095,Macy Nelson,Eric Anderson,West River Sailign Club,18*,14,8,14,17,17,10,20*,8,4,92,14
USA 9082,Jeff Miller,Pat Diola,Santa Cruz YC,15,17,16,31*,3,9,20,21,1,25*,102,15
USA 9073,Bruce Edwards,Rich Mundell,Santa Cruz Yacht Club,16,8,18,28*,12,24,14,12,17,32*,121,16
USA 8823,Mats Elf,Jon Henderson,CYC Seattle,11,25*,24*,3,15,14,18,22,18,22,123,17
USA 8680,Douglas Hagan,Evan Diola,Paia Bay SUP,20,21,15,19,50*DSQ,22,28*,23,7,1,128,18
USA 8192,Philip Cragg,Reto Corfu,Royal Vancouver Yacht Club/KYC,14,15,19,16,16,18,21,9,33*,23*,128,19
USA 7206,Dan Kaseler,Joe Cline,PMYC,50*DSQ,18,27*,25,19,15,23,19,20,6,145,20
USA 8829,Miles Johannessen,Jack Thompson,Bellingham Bay Community Boating Center,19,26,26,15,20,29*,32*,14,11,19,150,21
USA 8616,Lee Laney,Mike Powell,BYC,25,22,23,22,27*,20,15,18,27*,20,165,22
IRL 8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,28,19,21,20,23,16,17,29*,29*,24,168,23
USA 8631,Peirre Jeangirard,Tom Crawford,CYC Seattle,26,24,14,37*,22,27,19,24,34*,17,173,24
USA 8930,Duane Delfosse,Sol Marini,LSYC,22,20,20,24,29,21,30*,32*,16,21,173,25
USA 8868,Cody Kowalski,Dan Ginther,Port Townsend,21,50*DNF,50*DNS,17,24,30,25,17,38,16,188,26
USA 8919,Alexander Meller,Bryan Richardson,Severn Sailing Association,31*,30,33*,26,25,25,26,31,21,12,196,27
USA 9083,Aaron Ross,Rob Waterman,Santa Cruz YC & Alamitos Bay YC,24,23,25,45*,21,23,22,27,35,36*,200,28
CAN 8866,Cynthia Des Brisay,Charles Hanson,Kitsilano Yacht Club,29,27,22,23,28,44*,35*,25,22,26,202,29
USA 7153,Colin Dunphy,Alex Simanis,CYC Seattle,27,32,41*,30,34*,28,27,26,28,31,229,30
USA 8850,Douglas Watson,Gabriel Watson,West River Sailing Club,32,31,28,33*,33,37*,29,28,24,27,232,31
USA 7156,Erik Coburn,Gabe Hill,Sudden Valley Yacht Club,30,29,30,27,31,31,33*,36*,31,28,237,32
USA 9116,Katherine Long,Josh Dyck,Sudden Valley Yacht Club,23,28,29,44*,41,26,24,30,44*,40 TLE,241,33
USA 8766,Ian Conners,Chuck Norris,Severn Sailing Association,38*,34,31,18,37,32,31,38,37,40*TLE,258,34
USA 8439,Anne Fitzpatrick,Christian Pittack,CYC Seattle,36,40,34,42*,32,36,41*,39,30,15,262,35
USA 7095,Jackson McCoy,Stasi Buryzcki,Port Madison Yacht Club,35,39,40*,36,26,38,38,41*,23,29,264,36
USA 7039,Alexia Fischer,Chris Freye,WYC,42*,38,32,34,36,34,37,34,32,40*TLE,277,37
CAN 8755,Brian Trainor,Evan Jennings,Kitsilano Yacht Club,40*,33,37,35,35,35,34,35,43*,37,281,38
USA 6991,Sugar Flanagan,Craig McMinn,PTSA,34,35,35,50*DSQ,30,40*,39,37,39,33,282,39
CAN 7353,John Hayley,Ian Plumbley,Kitsalano,50*DNS,37,36,41,45*,39,43,44,26,18,284,40
USA 8617,Paul Pihl,Craig Cammock,BYC,39,36,38,38,40,33,42*,33,41*,40 TLE,297,41
USA 8960,Bruce Van Deventer,Bob Rinker,CYC Seattle,33,42*,39,39,38,42*,36,40,42,40 TLE,307,42
USA 6136,Courtney Starks,Landon Junge,BYC,37,41,50*DNF,29,39,41,44,42,45*,40 TLE,313,43
USA 8017,Mike Poulos,Jon Seestrom,BYC,50*DNS,43,42,32,42,50*DNF,40,43,40,38,320,44
CAN 7611,James Brown,Ethan Brown,Wabamun Sailing Club,41,50*DNF,43,43,43,43,45*,45,36,40 TLE,334,45
CAN 7959,Fred Grimm,Segah Meer,Kitsilano Yacht Club,50*DNS,44,50*DNS,40,44,45,50 DNF,48,46,40 TLE,357,46
USA 8818,James Holstine,Jeff Krusniak,BYC,44 TLE,45,44,50*DSQ,46,46,48*TLE,46,48,40 TLE,359,47
USA 7610,Christopher Hubbard,Reid Shaffer,CYS Seattle,44 TLE,50*DNF,50*DNS,47 TLE,47,47,46,47,47,40 TLE,365,48
USA 6499,Kevin Maguire,Ted Fernau,BYC,44 TLE,47 TLE,46 TLE,47 TLE,48,48,48 TLE,49*,49*,40 TLE,368,49
