Nr,Sail Number,Helm,Crew,Club,T,N,R1,R2,R3,R4,R5,R6,R7,R8,R9
1,GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,47,28,1,5,3,3,(19),1,1,12,2
2,GER 8992,Lutz Stengel,Frank Feller,ROYC,52.5,36.5,7,2,2,6,1,(16),13.5,2,3
3,GER 9043,Nicola Birkner,Angela Stenger,VSAW,51,41,4,3,(10),5,8,6,6,1,8
4,GER 9090,Christian Kellner,Andreas Achterberg,HSC,65,43,2,1,(22),4,10,3,3,3,17
5,GER 8519,Thure Gnadeberg,Aron Tellen,BSV,60,43,3,6,(17),8,2,9,5,6,4
6,GER 9101,Timon Treichel,Morten Roos,DYC,62,44,8,8,1,(18),3,10,9,4,1
7,GER 9146,Julian Stückl,Johannes Tellen,DTYC,77,62,6,14,13,1,(15),14,2,7,5
8,GER 8929,Kai Bertallot,Viktoria Warminski,FSC,93,70,12,9,15,2,5,15,(23),5,7
9,DEN 912,Jens Olbrysch,Oliver Thies,HSC,99,70,5,(29),4,17,7,5,15,8,9
10,GER 9149,Andreas Bock,Rolf Meyer,BYC,94,78,(16),12,8,7,11,4,8,13,15
11,GER 8956,Bernd Rasenack,Stefan Brückner,ZSK,104,83,14,15,(21),11,4,17,7,9,6
12,AUS 9134,Michael Quirk,Curtis Hartmann,,129.5,93.5,11,4,16,(36) UFD,26,2,13.5,11,10
13,GER 9133,Frieder Achterberg,Wolfgang Stückl,DTYC,128,103,(25),25,9,10,21,8,4,15,11
14,GER 9006,Michael Rehberg,Ricarda Wolf,,138,113,13,11,14,20,6,(25),10,21,18
15,GER 8975,Maike Roos,Maren Roos,SVWU,139,115,23,13,12,12,14,(24),18,10,13
16,GER 8999,Helen Fischer,Sven Meding,,147,122,18,16,6,19,22,11,12,18,(25)
17,GER 8463,Moritz Bruhns,Viktoria Warminski,BYC,158,126,21,7,25,9,13,13,(32),16,22
18,GER 9182,Alexander Holzapfel,Michael Freitag,PSVK,164,136,10,22,7,24,(28),23,17,17,16
19,GER 9161,Walter Steding,Hans-Werner Steding,HSC,182.5,149.5,17,10,(33),15,18,29.5,19,29,12
20,GER 9035,Ronald Roos,Kirsten Roos,SVWU,192,164,19,20,18,(28),24,18,26,20,19
21,GER 8947,Ralf Schneidewind,Phillipp Müller,SLRV,202,166,15,17,26,16,9,27,20,(36) DNC,36 DNC
22,GER 8875,Torsten Simon,Carsten Fischbach,SCA,202,171,26,23,(31),25,12,31,11,23,20
23,GER 9169,Tim Böger,Finn Böger,HSC,208,172,9,30,35,14,20,(36) DNF,36 DNC,14,14
24,GER 8849,Henrik Schade,Fabian Vergil,WVW,208,174,20,19,24,26,(34),7,24,25,29
25,GER 9057,Philipp Sudbrack,Nick Heuwinkel,BSV,208,176,22,(32),29,13,23,22,16,24,27
26,GER 8458,Robert Bautz,Sascha Spors,ASVZR,226,191,(35),31,23,32,16,21,21,19,28
27,GER 913,Jens Biederer,Thomas Wasilewski,HSC,231,198,29,24,27,(33),27,20,25,22,24
28,AUS 9028,Earle Alexander,Arne Lanatowitz,Darling Point SS,231,199,24,26,28,22,(32),19,31,28,21
29,GER 9189,Hendrik Schultz,Thorsten Koch,SCLW,237,201,31,(36) DNC,5,21,33,12,27,36 DNC,36 DNC
30,GER 8806,Anna Hauschild,Andreas Lutz Körnig,SCS,230.5,201,27,21,20,27,(29.5),28,29,26,23
31,GER 9141,Konrad Otto,Martin Lietz,SG Seeburg Segek e.V.,242.5,206.5,28,18,11,29,25,29.5,30,(36) DNC,36 DNC
32,GER 9000,Thorsten Pösch,Moritz Lüther,SCSZ,254.5,220.5,(34),34,19,31,29.5,32,22,27,26
33,GER 9113,Joseph Schütte,Karsten Stümpel,SLRV,262,226,30,27,32,30,17,26,28,(36) DNC,36 DNC
34,GER 8533,Roger Bussenius,Robert Bussenius,SCOH,280,245,33,28,34,23,(35),33,34,30,30
35,GER 9123,Enno Wilts,Martin Bernauer,OSG,289,255,32,33,30,(34),31,34,33,31,31
