Numer na taglu,lmig i nazwisko sternika,Imig i nazwisko zaloganta,PrzynaleinoiC klubowa / Team,Race 1,Race 2,Race 3,Race 4,Race 5,Race e
POL 8493,Mieczysław Szwed,Grzegorz Kidacki,Centrum 2eglarskie Szczecin,5,2,1,2,10,1
POL 8736,Adam Kuczyński,Andrzej Borowiak,2MKS Pozna6,2,3,2,3,10,2
POL 9132,Przemek Zagórski,Michał Olko,YK Stal Gdynia,4,4,5,5,18,3
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGN,1,1,DNF,4,23,4
FIN 8812,Sławomir Plichta,Paweł Prus,,6,DNF,3,1,27,5
POL 8665,Marcin Panek,Maciej Chatłas,YK STAL GDYNIA,7,7,8,6,28,6
POL 8909,Jan Domański,Jan Świderski,KPMG SAILING TEAM,3,6,4,DNF,30,7
POL 8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,10,5,10,7,32,8
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS POZNAN,8,9,7,DNF,41,9
POL 8437,Dominik Pawłowski,Kacper Kaczmarek,AZS Poznan,12,8,6,DNF,43,10
POL 8358,Maciej Goździk,Przemysław Iwanek,,13,11,11,8,43,11
POL 8582,Jakub Kozanko,Michał Wdówka,,9,10,DNF,DNF,53,12
POL 8497,Aleksandra Kachlicka,Michał Prończuk,AZS Poznań / LKS Poznari,11,OCS,9,DNF,54,13
POL 8770,Jakub Gąsiorowski,Karolina Gąsiorowska,YK Stal Gdynia,15,12,DNF,DNF,61,14
POL 8359,Tomasz Polikowski,Adam Najmowicz,STAL GDYNIA,14,DNF,DNF,DNF,65,15
POL 8751,Wojciech Kasprzyk,Paweł Henszke,Centrum 2eglarskie Szczecin,16,DNS,DNF,DNS,67,16
