Sail Number,Helm,Crew,Club,R1,R2,R3,R4,S,P
DEN 9181,Jorgen Bojsen-Møller,Jacob Bojsen-Møller,HS,2,1,2,9*,5,1
GBR 9180,Nathan Batchelor,Sam Pascoe,Ovington Boats,1,5,7,12*,13,2
GER 8992,Lutz Stengel,Frank Feller,ROYC,3,9*,5,6,14,3
GER 9122,Benedikt Northoff,Holger Jess,Swordfish,95.0* RET,2,10,7,19,4
GBR 9190,Ian Pinnell,Dave Shelton,Hayling Island SC,12,6,6,14*,24,5
USA 9153,Howard Hamlin,Jeff Nelson,Midnight Oil,14,10,1,21*,25,6
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,6,15,4,24*,25,7
USA 9102,Dogulas Hagan,Paul Von Greysup,PBSUP,9,8,8,44*,25,8
FRA 9175,Boite Philippe,Mathieu Fountaine,CVSQ,10,20*,16,4,30,9
FIN 9193,Jukka Nieminen,Antti Salonen,SP,11,7,15,29*,33,10
GER 9182,Alexander Holzapfel,Finn Böger,Le vent/vin nous portera,13,3,21,22*,37,11
GBR 9124,Terry Scutcher,Christian Diebitsch,SSC,27*,16,18,3,37,12
GER 9185,Stefan Böhm,Gerald Roos,SCV,40*,34,3,1,38,13
GER 9043,Nicola Birkner,Angela Stenger,Bikini Atoll,7,4,27,45*,38,14
GER 9020,Jörn Wille,Martin Bergmann,MSC,19,65*,12,8,39,15
GER 9101,Timon Treichel,Morten Roos,DYC,28*,17,24,2,43,16
GER 8929,Kai Bertallot,Jan Reifferscheidt,FSC,8,28,31*,11,47,17
SWE 8974,Malin Broberg,Johan Röök,LeSS,36,11,40*,5,52,18
GER 9112,Morten Bogacki,Lars Derschotte Dehne,Schliek,15,18,19,41*,52,19
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,23,14,17,58*,54,20
GER 9169,Tim Böger,Markus Schöne,Rgehalt.de,16,25*,23,15,54,21
DEN 9055,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,26*,21,9,25,55,22
SUI 9147,Caroline Jacot,René Betschen,Bonnie&Clyde,18,30*,22,18,58,23
GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,5,38*,32,28,65,24
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,Otto,32,36*,14,26,72,25
SWE 9038,Lars Bjerke,Tore Reinhold,BKSS,24,29,58*,23,76,26
GER 9133,Frieder Achterberg,Wolfgang Stückl,Rammel IV,22,23,33,43*,78,27
GER 9062,Jens Olbrysch,Oliver Thies,Strandschlampe reloaded,33,12,34,60*,79,28
GER 9127,Ulf Pleßmann,Hans-Heinrich Rix,AYC,34,33,50*,13,80,29
GBR 9177,Thomas Gillard,Harry Briddon,SVSC,44,19,20,72*,83,30
GER 9146,Amdy Smith,Johannes Tellen,NCSC,4,41,39,53*,84,31
GER 9171,Stefan Giesler,Frank Böhm,VSAW,41*,13,35,38,86,32
GER 9161,Walter Steding,Hans-Werner Steding,Seniorenstift,45*,31,41,16,88,33
AUS 9134,Michael Quirk,Curtis Hartman,Rpeyc,47*,43,25,20,88,34
DEN 9079,Jesper Bülow,Søren Asboe Jørgensen,KBL,35,46*,11,46,92,35
SWE 9002,Per Wester,Lars Wester,BKSS,25,42,63*,27,94,36
GBR 9136,Stewart Mears,Richard Tucker,RCYC,30,32,49*,32,94,37
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH,39,47,57*,10,96,38
POL 9132,Przemek Zagórski,Michał Olko,White Wood Sailing Team,84*,54,13,31,98,39
GER 9066,Peter Gerdts,Christian Labenz,Hetz mich nicht!,56,71*,26,19,101,40
USA 9168,Bruce Edwards,Eric Anderson,Going to California,31,26,55*,48,105,41
GER 9090,Christian Kellner,Martin Schöler,Bunga 2,46*,35,30,40,105,42
GER 9113,Joseph Schütte,Karste Stümpel,SLRV,67,22,70*,17,106,43
SWE 8651,Peter Andersson,Per-Eric Thörnström,SSVÄ,37,39*,37,33,107,44
SWE 8926,Ebbe Rosén,Olle Wenrup,Vattenråttan,54*,27,46,35,108,45
SUI 9163,Florian Stauffer,Philippe Jacot,CVN,42,40,29,57*,111,46
FRA 9099,Gilles Chapelin,Alain Karadjian,CVB,20,56*,43,51,114,47
GER 9057,Nick Heuwinkel,Philipp Sudbrac,Khier könnte ihre Werbung stehen,48,24,42,89*,114,48
RSA 8725,Jonathan Ham,Warwick Ham,P.S.C.,38,37,44*,39,114,49
GER 9006,Michael Rehberg,Stefan Rausch,VBS,29,51,38,78*,118,50
GER 8932,Christian Henge,Katja Henge,WeiSe,21,67*,48,50,119,51
GER 8806,Anna Hauschildt,Katharina Menge,Rumbalotte,64,76*,28,36,128,52
GER 9040,Norbert Dasenbrook,Sven Meier,KSW,45.0DPI,48,36,79*,129,53
SWE 8694,Tomas Grundel,Johan Strömdahl,KSSS,43,49,52*,37,129,54
GBR 9131,Jim Mcgillivray,Ian Mcgillivray,Uma Vida Tranquilla,63*,59,47,42,148,55
GER 8903,Steve Kwee,Thorsten Spötter,HSC,58,57,77*,34,149,56
FRA 9086,Neidhart Elisabet,Hde Monteil David,YCIF,61,45,45,66*,151,57
GER 8513,Thomas Wilbert,Peter Wilbert,SCLM,59,66*,51,47,157,58
GBR 9125,Roger Deane,Jonathan Ward,Rock,52,53,65*,52,157,59
GER 8458,Robert Bautz,Sascha Spors,Stromschneller,75*,44,54,61,159,60
GER 9114,Mats Westholm,Pedro Bohnenberger,Albatross,53,55,56*,55,163,61
GER 8849,Henrik Schade,Fabian Vergil,WVW,60,52,53,62*,165,62
GER 9141,Konrad Otto,Martin Lietz,SG SEEBURG,57,50,59,65*,166,63
GER 9135,Jens Biederer,Thomas Wasilewski,Schwertakrobaten,49,68,83*,59,176,64
GER 8550,Martha Hauschild,Michael Heyder,Devotion,51,64,62,74*,177,65
GER 8750,Peter Kruse,Arne Wittemer,SC HATTINGEN,50,61,73*,67,178,66
SWE 9117,Fredrik Molander,Tomas Jaxing-,LDSS,72,81*,78,30,180,67
DEN 8677,Rasmus Andersen,Lars Henrik Andersen,Carabistouille,80*,60,66,56,182,68
SWE 9092,Knut Hastenpflug,Jana Hastenpflu,Gdete,55,69,81*,63,187,69
GER 9130,Andreas Jungclaus,Johannes Kindermann,HSC,65,58,71*,64,187,70
GBR 9156,Mike Pickering,Mike Priddle,Restronguet,73,74*,67,49,189,71
GER 8947,Ralf Schneidewind,Oliver Schürmann,Purzel inside,78*,73,74,54,201,72
AUS 9028,Earle Alexander,John Mclean,Earle Grey,70,62,69,77*,201,73
SUI 9060,Catherine Houriet,Gil Donze,Patience,66,63,72,75*,201,74
