Sail,Skipper/Crew,Results,,1,2,3,4,5,6,7,8,Total Points,Place
USA9072,Mike Holt,Carl Smit,,2,1,15*,5,3,1,3,89*,15,1
USA9106,Mike Martin,Adam Lowry,,8,21*,25*,6,2,6,1,3,26,2
GBR9088,Andy Smith,Roger Gilbert,,10,3,6,2,5,3,15*,16*,29,3
USA9091,Edward Conrads,Brian Haines,,9,6,7,1,4,20*,6,12*,33,4
GBR9190,Ian Pinnell,Dave Shelton,,4,4,8,21*,10*,7,5,8,36,5
USA9173,Tyler Moore,Rob Woelfel,,3,25*,27*,15,6,2,8,4,38,6
USA9160,Howard Hamlin,Andy Zinn,,1,5,4,41*,8,18,89*,7,43,7
GER8929,Kai Bertallot,Jan Reifferscheidt,,15,9,35*,29,1,4,2,36*,60,8
GBR9180,Nathan Batchelor,Norman Byrd,,23,2,11,4,27*,32*,20,5,65,9
GER9043,Angela Stenger,Skipper: Nikola Birkner,,19,10,1,14,20,89*,28*,2,66,10
USA8970,Christopher Segerblom,Eric Anderson,,29*,8,23,25*,14,8,7,9,69,11
USA9007,Matthew Barry,Thomas Barrows,,22*,12,18,19,24*,17,4,1,71,12
USA9003,Jesse Falsone,Chris Behm,,17,16,3,8,89*,16,12,24*,72,13
USA9102,Douglas Hagan,Shane Illidge,,6,7,9,9,38*,27,33*,14,72,14
FRA9175,Philippe Boite,Florian Corbel,,11,18,30*,7,13,19*,19,6,74,15
USA8995,Kevin Taugher,Reeve Dunn,,5,20,19,10,11,89*,16,37*,81,16
USA8681,Stuart Park,Ryan Cox,,7,31*,41*,27,9,13,9,18,83,17
USA8715,Ethan Bixby,Parry Barclay,,18,19,2,22,36*,5,27*,25,91,18
USA8830,Drew Buttner,Mark Zagol,,21,36*,47*,3,18,26,13,19,100,19
GER9169,Tim Boeger,Finn Boeger,,14,11,38*,55*,7,25,11,34,102,20
AUS9167,Nigel Lott,Bob Franks,,24,14,31*,17,23,10,23,89*,111,21
AUS9191,Malcolm Higgins,Marcus Cooper,,16,24,26,37*,31*,23,24,11,124,22
USA909,A.J. Conrads,Richard Mundell,,20,28,43*,39*,16,34,21,10,129,23
USA9095,Macy Nelson,Russell Miller,,32,62*,29,12,15,24,17,57*,129,24
USA8913,Dan Herlihy,Austin Powers,,12,26,17,31,48*,62*,22,22,130,25
USA9005,Gordon Russell,Martin Goult,,44*,35,13,18,56*,11,26,28,131,26
GBR9178,Chris Lewns,Jarrod Simpson,,30,45*,40*,20,21,9,14,38,132,27
GBR9179,Tudor Owen,Thomas Bruton,,41*,27,55*,13,30,22,18,29,139,28
GER9146,Jens Findel,Johannes Tellen,,46,43,12,89*,17,12,10,89*,140,29
USA8831,Kerry Poe,Paul VonGrey,,13,42*,33,60*,12,33,30,40,161,30
AUS9110,Mark Stowell,Adam Brenz-Verca,,28,50*,24,16,28,31,34,42*,161,31
USA8851,Ted Huebner,Mike Komar,,27,47*,22,26,35*,35,35,17,162,32
AUS9028,Earle Alexander,Ian Gregg,,25,22,34,36*,25,29,32,89*,167,33
IRL8987,Peter Scannell,John Dunlea,,33,49*,45,24,29,14,29,54*,174,34
USA8841,Michael Coe,Alexander Meller,,35,29,28,35,40,89*,89*,15,182,35
FRA9150,Herve de Kergariou,Guillaume de Kergariou,,50*,17,20,11,46,54*,43,50,187,36
USA904,Benton Amthor,Doug Amthor,,31,89*,16,33,52*,38,42,30,190,37
USA8631,Tom Crawford,Pierre Jeangirard,,55*,15,73*,32,32,43,50,26,198,38
USA8814,Lin Robson,Matthew Gardiner,,57*,32,5,44,51,72*,46,21,199,39
AUS9134,Curtis Hartmann,Michael Quirk,,39,34,50,89*,26,15,36,89*,200,40
CAN7200,Jeff Boyd,Rachael Boyd,,60*,33,14,30,42,51*,38,47,204,41
USA9172,Paul Scoffin,Brendan Heussler,,49*,44*,37,42,22,36,37,39,213,42
USA9041,Henry Amthor,Dustin Romey,,26,71*,52,40,34,21,41,58*,214,43
USA9183,Dylan Breton,Matthew Breton,,43,72*,49,53,19,71*,45,13,222,44
USA7359,Catherine Guiader,Christopher Brady,,48,30,53,28,89*,70*,62,20,241,45
AUS9115,Dean Souter,Brad Clarke,,54,13,21,34,89*,89*,31,89,242,46
DEN9079,Jesper Bülow,Søren Asboe Jørgensen,,47,40,87*,89*,37,28,40,56,248,47
USA8850,Doug Watson,Gabriel Watson,,64*,48,10,38,50,41,89*,62,249,48
USA8883,Kelsey Averill,Michael Renda,,42,57*,66*,43,43,47,48,31,254,49
USA8616,mike powell,Lee Laney,,53,68*,61*,45,41,39,44,41,263,50
AUS8877,Amy Lee,Justin Mulkearns,,65*,41,42,49,33,53,49,63*,267,51
GBR9125,Roger Deane,Nigel Deane,,73*,70*,57,63,59,30,25,51,285,52
USA8930,Duane Delfosse,Sol Marini,,62,52,58,71*,39,89*,39,35,285,53
FIN8768,Petri Ebeling,Antti Salonen,,40,56,39,66*,49,36,89*,65,285,54
USA9116,Katherine Long,Dan Ginther,,38,38,67*,58,54,68*,58,48,294,55
USA7606,Brendan Connell,Steve Lovshin,,52,37,85,50,89*,44,89*,27,295,56
GBR9126,Stuart Turnbull,Andy Forman,,56,51,56,73*,47,69*,54,32,296,57
USA8952,Jake Spracher,Jay Smith,,71*,54,36,48,89*,49,65,55,307,58
CAN9138,Marek Balinski,Barney Harris,,75*,64,63,65,53,40,89*,23,308,59
POL9132,Przemek Zagórski,Michał Olko,,34,89*,69,47,71*,42,52,66,310,60
GER8988,Georg Mittermayer,Dirk Barteldt,,82*,23,74,79*,55,37,47,78,314,61
USA910,Kaila Pfrang,Anna Patterson,,68,59,76*,23,73*,67,55,44,316,62
CAN8600,Marie Gendron,David Brown,,58,76*,32,70*,62,60,56,61,329,63
USA8819,Christopher Pfrang,Eric Schwab,,71,46,77,52,89*,52,89*,33,331,64
USA8937,Tim Murphy,Matt Merchant,,51,67*,71*,64,61,46,61,53,336,65
AUS8968,matt Hansen,Crazy John McLean,,81*,61,59,68,44,48,57,79*,337,66
USA8439,Anne Fitzpatrick,Christian Pittack,,37,89*,60,77*,45,58,89,49,338,67
USA8194,Clark Hayes,Clayton James,,36,75*,64,69*,65,63,59,52,339,68
BER9176,Gary Taylor,Brett Wright,,59,53,46,59,70*,64,71*,59,340,69
FRA9086,Neidhart Elisabeth,David De Monteil,,45,55,51,46,89*,89*,89,60,346,70
AUS9018,Brett Bowden,Arielle Darrow,,69*,65,80*,54,64,61,63,43,350,71
CAN8260,Shona Moss Lovshin,Devlin Lovshin,,79,60,54,61,57,89*,89*,45,356,72
USA8838,Sterling Spruill,Steve Taylor,,70,74*,79*,67,63,45,53,64,362,73
USA8081,Michael Parramore,Marco Giraldi,,66,58,44,75*,68,59,69,71*,364,74
CAN8368,Paul Place,Nicolas Tosi,,77*,69,78*,56,70,66,66,46,373,75
AUS9071,Richard Hyde,Lindsay Hyde,,63,73*,72,74*,60,50,60,68,373,76
GBR9131,Jim McGillivray,Ian Wilson,,72,63,65,76*,69,57,51,73*,377,77
USA8919,Bryan Richardson,Ashley Love,,89*,39,48,51,89*,89,89,67,383,78
USA8766,Ian Conners,Jimmie Cockerill,,61,79*,68,72,89*,55,72,69,397,79
JPN6999,Shiro Noguchi,Takao Fijita,,76,66,89*,62,67,89*,64,75,410,80
CAN8755,Brian Trainor,Mike Poulos,,78,77,81*,81*,58,56,68,74,411,81
USA8822,David Burchfiel,Bob Williams,,84*,82,62,80,89*,65,67,70,426,82
GBR8435,Patrick McGale,langdon junge,,74,80,70,57,75,89*,89*,77,433,83
USA8244,Paul Andron,Chris Drury,,86*,84,84,84,89*,73,70,72,467,84
AUS8738,John Macarthur-King,Sarah Macarthur-King,,85,78,75,82,72,89*,89*,76,468,85
USA7197,David Neal,,,80,81,82*,78,75,89*,73,81,468,86
USA7148,Eric Konieczynski,Kyra Tallon,,83,83,83,83,89*,89*,89,89,510,87
