Sail Number,,Team,Club,R1,R2,R3,T,N
GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,1,3,1,5,5
GER 9114,Jochen Heydolph,Westholm Mats,SCLW,3,1,4,8,8
GER 8861,Wolfgang Seifert,Ivonne Seifert,SCLW,2,6,2,10,10
GER 9133,Frieder Achterberg,Christian Baldauf,DTYC,7,2,3,12,12
GER 9100,Nathalie Zeiler,Claudius Zeiler,SCLW,4,7,5,16,16
GER 8658,Christina Wilhelm,Susanne Oed,HSC,8,5,6,19,19
GER 8598,Anna Heinisch,Bernd Heinisch,HSC,5,4,11 DNC,20,20
GER 8531,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,6,11 DNF,7,24,24
GER 8972,Uli Nelskamp,Gabi Hagmann,RSCZ,9,8,8,25,25
GER 9139,Dirk Penno,,DTYC,10,9,9,28,28
