Nat SailNo,Name,Crew,,R1,R2,R3,Score,Rank
USA 9072,Mike Holt,Rob Woelfel,,2,1,4,7,1
AUS 9191,Sandy Higgins,Paul Marsh,,1,10,1,12,2
GER 8992,Lutz Stengel,Holger Jess,,5,2,17,24,3
GER 9185,Stefan Böhm,Gerald Roos,,14,8,2,24,4
GBR 9203,Nathan Batchelor,Sam Pascoe,,4,9,11,24,5
GBR 9214,Andy Smith,Tim Needham,,13,14,3,30,6
GBR 9124,Terry Scutcher,Christian Diebitsch,,12,13,5,30,7
GBR 9177,Thomas Gillard,Harry Briddon,,7,18,9,34,8
USA 9153,Howard Hamlin,Howard Hamlin,,10,21,6,37,9
AUS 9211,Rob Deussen,David Snoad,,15,15,8,38,10
GER 9198,Julian Stückl,Johannes Tellen,,9,24,7,40,11
GBR 9190,Ian Pinnell,Alex Davies,,3,23,18,44,12
USA 9084,Tyler Moore,Andrew Buttner,,6,17,21,44,13
RSA 8905,Graeme Willcox,James Spikesly,,16,5,25,46,14
GBR 9179,Tudor Owen,Tom Bruton,,25,11,16,52,15
GER 9169,Tim Böger,Markus Schöner,,22,19,15,56,16
GER 9035,Ronald Roos,Morten Roos,,28,7,22,57,17
SUI 9147,Caroline Jacot,Philippe Jacot,,8,25,27,60,18
GBR 9093,Ben Iliffe,Paul Davis,,40,6,20,66,19
GER 9182,Alexander Holzapfel,Finn Böger,,23,30,14,67,20
USA 9102,Douglas Hagan,Paul Von Grey,,21,28,19,68,21
GER 8915,Davina Schlesiger,Marvin Schlesiger,,18,38,33,89,22
AUS 9028,Earle Alexander,Ian Gregg,,24,37,28,89,23
AUS 9059,Christopher Paterson,Thor Schoenhoff,,27,41,26,94,24
RSA 8725,Euan Hurter,Warwick Ham,,30,35,44,109,25
GER 9054,Anika Wollenbecker,Raik Wollenbecker,,37,42,30,109,26
FIN 8927,Kaj Lindfors,Johan Halonen,,36,53,23,112,27
AUS 8957,Peter Woolman,Philip Scapens,,26,54,34,114,28
GER 9195,Dirk Penno,Marcus Pies,,38,40,36,114,29
GBR 9126,Stuart Turnbull,Michael Priddle,,44,31,41,116,30
SWE 8694,Tomas Berg,Patric Wollmersson,,43,36,42,121,31
BEL 8898,Bas Van Assche,Toon Van Assche,,29,57,38,124,32
SWE 8974,Malin Broberg,Johan Röök,,35,52,40,127,33
GER 9135,Jens Biederer,Thomas Wasilewski,,47,49,32,128,34
AUS 9105,Jim Mcgillivray,Ian Mcgillivray,,60,27,49,136,35
AUS 9205,Sam Cronin,Kevin Whitbread,,53,45,43,141,36
AUS 9204,Matt Hansen,John Mclean,,58,56,29,143,37
AUS 9210,Michael Quirk,Reeve Dunn,,11,3,130.0 DNC,144,38
GBR 9125,Roger Deane,Jonathan Ward,,39,47,58,144,39
GER 9130,Andreas Jungclaus,Hannes Kindermann,,51,59,35,145,40
POL 9119,Mateusz Jura,Bartosz Chroł,,56,44,45,145,41
AUS 9213,Ian Burford,David Christie,,31,60,57,148,42
AUS 9167,Nigel Lott,Bob Franks,,17,4,130.0 DNC,151,43
FRA 9150,Hervé De Kergariou,Guillaume De Kergariou,,57,46,48,151,44
GER 9127,Ulf Plessmann,Hans Heinrich Rix,,130.0 DNC,12,12,154,45
GBR 9156,Russell Wheeler,Lee Marriott,,55,61,39,155,46
NZL 1,Richard Kiff,Nathan Quirk,,130.0 DNC,33,13,176,47
GBR 9178,Chris Lewns,Jack Kilburn,,33,16,130.0 DNC,179,48
GER 8964,Iris Anton,Bruno Laudage,,64,66,51,181,49
BEL 8625,Casper Martens,Stijn Oyen,,74,63,46,183,50
AUS 9110,Mark Stowell,Conall Hansford,,32,22,130.0 DNF,184,51
GER 9123,Enno Wilts,Georg Mittermayer,,63,71,52,186,52
GER 8750,Peter Kruse,Arne Wittemer,,71,62,55,188,53
AUS 9071,Richard Hyde,Lindsay Gilbert,,70,68,54,192,54
GER 9113,Joseph Schütte,Karsten Stümpel,,41,26,130.0 DNC,197,55
POL 9118,Jakub Pawluk,Marcin Józefowski,,19,55,130.0 DNC,204,56
POL 9170,Karol Milewski,Bartosz Milewski,,46,130.0 DNC,31,207,57
SWE 9143,Thomas Lundberg,Oskar Lundberg,,42,130.0 DNC,37,209,58
SWE 9038,Lars Bjerke,Tore Reinhold,,34,130.0 DNC,50,214,59
POL 8483,Mariusz Michalski,Piotr Duma,,80,83,59,222,60
