SailNo,Helm,Crew,Club,Nat,1,2,3,4,5,6,7,Total,Nett,Rank
GER 8992,Agnieszka Skrzypulec,Holger Jess,GER,,1,1,2*,1,1,1,1,8,6,1
AUS 9110,Ewa Bartosiewicz,Dominik Buksak,MUSTO,1,7*,4,1,2,2,5,4,25,18,2
GER 9182,Alexander Holzapfel,Stefan Worm,-,,4,2,5*,4,3,4,3,25,20,3
POL 9118,Jakub Pawluk,Marcin Józefowski,Legia Warszawa/Spójnia Warszawa,2,3,3,3,3,5,10*,8,35,25,4
GER 91,Szymon Wierzbicki,Marek Kaczmarek,KEM,3,2,5,7,13*,8,3,2,40,27,5
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,4,6,6,4,8,4,7,9*,44,35,6
POL 9132,Przemek Zagórski,Michał Olko,Whitewood Sailing Team,5,5,8,6,11*,10,6,6,52,41,7
GER 9152,Tomasz Brzozowski,Paweł Choroba,RoosterSailing.pl,6,15,13,16*,6,6,2,5,63,47,8
GER 9054,Anika Wollenbecker,Raik Wollenbecker,-,,9,7,12*,9,7,8,12,64,52,9
POL 8736,Adam Kuczyński,Andrzej Borowiak,Najazdy Samochodowe,7,8,29 DNC*,13,5,13,15,7,90,61,10
POL 8875,Dariusz Konopczak,Lesław Świstelnicki,-,8,20*,10,10,12,9,13,14,88,68,11
POL 8909,Jan Domański,Michał Wdówka,KPMG,9,13,29 RET*,9,7,16,16,17,107,78,12
POL 8493,Mieczysław Szwed,Konrad Plewa,-,10,10,9,15,20*,15,12,19,100,80,13
POL 8802,Dominik Ostrowski,Jakub Folczak,Merlin.pl,11,12,29 RET*,14,17,14,14,10,110,81,14
POL 8212,Michał Tracz,Maciej Kondolewski,KŻ Ostróda,12,16,29 RET*,19,16,18,18,11,127,98,15
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,13,29 RET*,15,24,14,12,17,16,127,98,16
POL 8483,Mariusz Michalski,Piotr Duma,-,14,21,14,23*,15,19,19,15,126,103,17
POL 7942,Aleksandra Kachlicka,Michał Prończuk,AZS Poznań /ŻLKS Poznań,15,17,29 DNF*,18,29 OCS,17,9,18,137,108,18
POL 8286,Paweł Rzepecki,Szymon Swosiński,-,16,19,11,20,18,22*,20,20,130,108,19
POL 8358,Tobiasz Zajączkowski,Maciej Goździk,-,17,29 RET*,29 DNC,17,29 OCS,11,11,13,139,110,20
POL 8437,Szymon Kabała,Kacper Kaczmarek,AZS Poznań,18,18,29 DNF*,8,10,29 DNC,29 DNC,29 DNC,152,123,21
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal Gdynia,19,11,29 DNC*,11,29,29,29,29,167,138,22
POL 7237,Mariusz Świstelnicki,Kamil Świstelnicki,-,20,14,12,29 DNC*,29 DNC,29 DNC,29 DNC,29 DNC,171,142,23
POL 8422,Marcin Pietrzak,Marcin O. Pietrzak,-,21,29 DNC*,29 DNC,22,19,21,29 DNC,29 DNC,178,149,24
POL 8028,Anna Zabłocka,Grzegorz Kidacki,-,22,29 DNC*,29 DNC,25,21,20,29 DNC,29 DNC,182,153,25
POL 8751,Wojciech Kasprzyk,Maciej Kasprzyk,Centrum Żeglaskie,23,29 RET*,29 DNC,21,22,29 DNC,29 DNC,29 DNC,188,159,26
POL 8416,Bogna Płachecka,Roman Główka,MOSZ Warszawa,24,29 RET*,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,203,174,27
POL 8359,Tomasz Polikowski,Adam Najmowicz,Eurobank Sailing Team,24,29 RET*,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,29 DNC,203,174,27
