Segelnr,Ansvarig ombord,Besättning,Klubb,R1,R2,R3,R4,R5,R6,R7,Båtnamn,Totalt,Rank
SWE,8962,Peter Bökmark,Martin Persson,BKSS/GKSS,4,1,4,3,4,1,(5.0),Gråben,17,1
SWE,8694,Tomas Berg,Patric Wollmersson,SS Kaparen,1,3,3,6,1,6,(7.0), ,20,2
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,SSÅV,3,4,5,5,(11.0),11,2,Otto,30,3
SWE,9038,Lars Bjerke,Tore Reinhold,BKSS,11,2,11,7,2,3,(13.0), ,36,4
SWE,8974,Malin Broberg,Johan Röök,LeSS,7,13,2,(22.0 OCS),3,8,6,.,39,5
SWE,8651,Peter Andersson,Per-Eric Thörnström,SS Viken-Ägir,(14.0),5,1,1,13,12,10, ,42,6
SWE,9029,Tomas Grundel,Johan Strömdahl,KSSS,(22.0 OCS),22.0 OCS,6,4,7,2,1, ,42,7
SWE,8666,Magnus Nilsson,Ulf westberg,TäBS,6,6,8,11,(17.0),7,4, ,42,8
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens KS (MKS),2,7,14,2,9,9,(22.0 DNS),Vattenråttan,43,9
SWE,9107,Fredrik Hansson,Sven Flood,BKSS,12,10,7,10,8,5,(14.0),Bird,52,10
Swe,9117,Fredrik Molander,Tomas Jaxing,LDSS,8,9,13,9,5,10,(15.0), ,54,11
SWE,9002,Per Wester,Lars Wester,BKSS,5,15,10,(22.0 OCS),6,16,3, ,55,12
SWE,8945,Tord Lawner,Johan Calvert,BKSS,(17.0),8,12,8,15,4,9,Suzy Creamcheese,56,13
SWE,8632,Mats Lindgren,Felix Stööp Lindgren,BKSS,10,12,9,15,12,14,(16.0), ,72,14
SWE,8412,Olof Bengtsson,Robin Eliasson,Varbergs Segelsällskap,9,(17.0),16,12,14,13,11, ,75,15
SWE,8581,Ja,PA Hallberg/Frank Bach,LjSS/SSN,13,11,15,(22.0 OCS),10,15,12, ,76,16
SWE,43*,Christer Båth,Magnus Ohlsson,GKSS,16,16,18,13,(19.0),18,8, ,89,17
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,SSÅV,15,14,(19.0),14,16,19,18,dete,96,18
SWE,8835,Joachim Stadig,Ulf Christofferson,Borås SS,(22.0 OCS),22.0 OCS,17,16,18,17,17,-,107,19
SWE,9014,Alain Dupuis,Gustav Von Sydow,BKSS,18,18,(20.0),17,20,20,19, ,112,20
SWE,8491,Stefan Holzner,Rasmus Tengblad,.,(22.0 DNC),22.0 DNC,22.0 DNC,22.0 DNC,22.0 DNC,22.0 DNC,22.0 DNC,Bien Jou,132,21
