SailNo,Helm Name,Crew Name,Boat,Race 1,Race 2,Race 3,Netto,Rank,Total,Bow,Division
USA 9072,Mike Holt,Carl Smit,IO Integration,1,6,2,9,1,9,14,
AUS 8801,Peter Nicholas,Luke Payne,The Fish,5,1,3,9,2,9,25,
USA 9106,Mike Martin,Adam Lowry,Mike's Boat,16,5,1,22,3,22,59,
GBR 9190,Ian Pinnell,Reeve Dunn,Easy Tiger,10,3,11,24,4,24,6,
AUS 9191,Malcolm Higgins,Nick Johnston,WhiskeyTangoFoxtrot,19,2,4,25,5,25,78,
GER 9152,Wolfgang Hunger,Holger Jess,n.n.,18,4,5,27,6,27,9,Master Crew
USA 9004,Parker Shinn,Eric Anderson,N = 1,3,19,12,34,7,34,73,
GBR 9203,Nathan Batchelor,Harry Briddon,Ovington Boats,22,7,6,35,8,35,5,
AUS 9059,Christopher Paterson,Thor Schoenhoff,The Big Blue Bus,11,9,16,36,9,36,17,
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,TBA,17,13,7,37,10,37,54,
GER 9070,Stefan Koechlin,Andreas Achterberg,TBA,13,15,9,37,11,37,22,
GBR 8970,Penny Clark,Russ Clark,RNSA,8,21,10,39,12,39,37,Mixed
RSA 9063,James Largier,Richard Hutton-Squire,Iris,14,24,15,53,13,53,80,
GER 9169,Tim Boger,Finn Boger,gehalt.de,4,25,25,54,14,54,16,
USA 9160,Howard Hamlin,Jeff Nelson,Nine One Six Oh,35,11,8,54,15,54,27,Master Helm
AUS 8760,Daniel Keys,Daryl Roos,Intergalactic,9,33,14,56,16,56,75,
GBR 9124,Terry Scutcher,Christian Diebitsch,TBA,27,18,18,63,17,63,36,Master Crew
AUS 9210,Michael Quirk,Joel Castle,None,15,34,17,66,18,66,3,
RSA 9094,Thomas Funke,TBA,LELO,21,23,22,66,19,66,66,
GER 9182,Alexander Holzapfel,Aron Tellen,Le vent/vin nous portera,30,28,13,71,20,71,42,
AUS 9192,Mark Stowell,Conall Hansford,Prawnbroker,31,30,20,81,21,81,2,
AUS 8644,Ayden Menzies,Grant Rose,KRAKEN,20,35,28,83,22,83,34,
RSA 8725,Alexander Ham,Jonathan Ham,Little Blue Ringed Octopus,7,37,40,84,23,84,44,Youth
AUS 9115,Clarke Bradley,Bradley Clarke,Sailingbits.com,40,27,19,86,24,86,81,
AUS 8893,Ryan Menzies,Lachlan Hornsby,Yeah Buddy,24,40,30,94,25,94,58,
GBR 9158,Tom Stivano,Paddy Lewis,No name,37,31,26,94,26,94,48,
AUS 8920,Jeffrey Robinson,Adam Wyatt,ASAP,41.5,36,23,100.5,27,100.5,83,
SWE 8974,Malin Broberg,Johan Rook,Magic Marine,28,41,36,105,28,105,32,
USA 9208,Edward Conrads,Brian Haines,IBIPCYHI,6,12,90 DNC,108,29,108,18,
AUS 8946,Sandy Higgins,Paul Marsh,Hawaii five o,12,8,90 DNC,110,30,110,11,
RSA 8789,Ryan Robinson,Warwick Ham,7 of 9,34,39,38,111,31,111,43,
GER 9198,Julian Stueckl,Johannes Tellen,TBA,2,20,90 DNC,112,32,112,33,
GBR 9105,James McGillivray,John Mclean,Duck Duck Duck!,39,47,27,113,33,113,20,
AUS 8890,Martin Pike,Brian Jones,Groove Train,48,45,21,114,34,114,65,
AUS 8968,Andrew Cawley,Patrick Atwell,Devils Haircut,44,50,32,126,35,126,10,
GER 9197,Nicola Birkner,Angela Stenger,Bikini Atoll 2,47,46,34,127,36,127,63,Female
AUS 8794,Michael Babbage,James McAllister,Alvin Rides Again,25,17,90 DNC,132,37,132,79,
AUS 9074,Earle Alexander,Rasmus Goerge,Earle Grey 2,52,54,31,137,38,137,60,Master Helm
AUS 9022,Ian Burford,David Christie,Hit the Jackpot,53,49,35,137,39,137,39,
CAN 9207,Robert Tennant,Steve Bourdow,White Boat,38,10,90 DNC,138,40,138,72,
FRA 9150,Herve de Kergariou,Guillaume de Kergariou,KE ATAO IV,45,52,41,138,41,138,50,
GER 9035,Timon Treichel,Morten Roos,TM-Racing,33,16,90 DNC,139,42,139,71,Youth
DEN/AUS 9209,Jan Saugmann,Marcus Cooper,TBA,32,22,90 DNC,144,43,144,1,
USA 9102,Douglas Hagan,Paul Von Grey,Panic,29,26,90 DNC,145,44,145,38,
AUS 9167,Nigel Lott,Bob Franks,Soaked,26,29,90 DNC,145,45,145,61,
AUS 9061,Kevin Cameron,Sam Heritage,Alarm Innovations,43,14,90 DNC,147,46,147,53,
AUS 8173,Brian Pike,Riley Pike,Bad Habits,58,53,37,148,47,148,93,Classic
AUS 8855,Nicholas Mariani,Alex Thomson,Epileptic Octopus,23,38,90 DNC,151,48,151,69,
AUS 9071,Richard Hyde,Lindsey Gilbert,Red Baron,51,61,42,154,49,154,24,Master Helm
AUS 8811,Matthew Hansen,Chris Whyte,Crimson Autograph,90 DNC,42,24,156,50,156,8,
AUS 8894,Tim Walker,Matt Summers,Black Boat,77,51,29,157,51,157,30,
AUS 8785,James Ryssenbeek,Andrew McCole,Card Sharks,61,66,33,160,52,160,26,
AUT 8783,Adam Smith,Julian Jobstl,LucyFurr,57,64,43,164,53,164,85,
AUS 8638,Matt Bowden,TBC,Farcical Aquatic Ceremony,63,56,45,164,54,164,84,
GBR 9125,Roger Deane,Jonathan Ward,Rock Beat,78,48,39,165,55,165,19,Master Crew
AUS 9205,Sam (GA) Cronin,Kevin Whitbread,Jo,60,60,47,167,56,167,4,
GER 9133,Lena Stueckl,Wolfgang Stueckl,Rammel IV,46,32,90 DNC,168,57,168,28,Mixed
GER 8988,Katharina Menge,Georg Mittermayer,Larissa,67,69,46,182,58,182,35,Master Crew; Mixed
AUS 8781,Ian Gregg,Ian Gregg,Team Primate,36,57,90 DNC,183,59,183,23,Master Crew
AUS 9018,Brett Bowden,TBA,Eighteen,71,63,49,183,60,183,21,Master Helm
AUS 8667,Grant Abbott,Matthew Till,Swing Shift,73,67,44,184,61,184,76,
GBR 9126,Stuart Turnbull,Mike Priddle,Serendipity,54,43,90 DNF,187,62,187,46,Master Helm; Master Crew
AUS 8797,Xavier Agnew,Michael Cook,Bolt,66,71,50,187,63,187,45,
GER 9037,Anna Hauschild,Julia Achterberg,TBA,72,68,48,188,64,188,12,Female
AUS 8796,Adam Brenz-Verca,Matt Merchant,TBA,64,44,90 DNC,198,65,198,64,
AUS 9017,Roger Pell,Byron Mavrick,String Theory,50,70,90 DNF,210,66,210,13,
GER 9123,Enno Wilts,Martin Lietz,Sophist,68,55,90 DNC,213,67,213,52,
RSA 8406,Bronwen Klaas,Kobus Holtzhausen,Dirty Old Scoundrel,69,58,90 DNC,217,68,217,90,Classic
AUS 8891,Sarah Cooper,David Ottaway,The Surly Mermaid,65,62,90 DNC,217,69,217,67,Mixed
AUS 8840,Michael Gallagher,Matt Brooman,Manalive,62,65,90 DNC,217,70,217,68,
AUS 9048,Robert Fleming,Marcel Vos,Shore Thing,70,59,90 DNC,219,71,219,40,
AUS 8817,Michael Duffield,Anthony Gaunt,Tensing Norgay,41.5,90 DNF,90 DNC,221.5,72,221.5,15,
SWE 8547,Galen Mack,Wilhelm Johannisson,Angry Dragon,59,73,90 DNC,222,73,222,91,Classic
AUS 9047,Noah Taylor,David Muel,49,87,90 DNC,90 DNC,229,229,74,Doob,,
AUS 9049,Murray Smith,TBA,No Name,55,90 DNF,90 DNC,235,75,235,62,
AUS 8739,Steve Howden,Tom Stuchbery,Dance Don't Walk,56,90 DNF,90 DNC,236,76,236,74,
AUS 984,Murray Makin,Danielle Makin,Alice,76,72,90 DNC,238,77,238,92,Classic; Mixed
POL 9132,Przemek Zagórski,Michal Olko,White Wood Sailing Team,74,90 DNC,90 DNC,254,78,254,7,
AUS 8626,Scott Lidgett,Tony Wood,ZigZag,75,90 DNC,90 DNC,255,79,255,31,
USA 8937,Tim Murphy,Andrew Sutton,None,90 DNC,90 DNC,90 DNC,270,80,270,29,
GBR 8867,Patrick McGale,Paul Pihl,0,90 DNC,90 DNC,90 DNC,270,80,270,47,
AUS 8557,Neil Long,Dave Atwell,No Name,90 RET,90 DNC,90 DNC,270,80,270,94,Classic
AUS 8810,Max Hayman,Christopher Pearson,Go,90 DNC,90 DNC,90 DNC,270,80,270,77,
USA 9082,Jeff Miller,Pat Diola,Miracle,90 RET,90 DNC,90 DNC,270,80,270,82,
AUS 8886,Ben Schulz,Dave Clayton,Thunderstruck,90 RET,90 DNC,90 DNC,270,80,270,70,
AUS 8973,Riley Skipworth,Edmond Repsevicius,Numeraire,90 DNC,90 DNC,90 DNC,270,80,270,51,Master Crew
USA 9083,Aaron Ross,Rob Waterman,Cosmic Thing,90 DNC,90 DNF,90 DNC,270,80,270,55,Master Crew
GBR 9196,David Smithwhite,Neil Fulcher,Old Timers,90 DNC,90 DNC,90 DNC,270,80,270,56,
POL 9118,Jakub Pawluk,Marcin Józefowski,Legia Warszawa / Spojnia Warszawa,90 DNC,90 DNC,90 DNC,270,80,270,57,
