Sail,Helm,Crew,Club,R1,R2,R3,R4,Brutto,Netto,Place
GER 9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,1,1,3,1,6,6,1
GER 9133,Frieder Achterberg,Morten Roos,DTYC,4,1,3,3,11,11,2
GER 9189,Hendrik Schultz,Ute Oberländer,SCLW,3,2,4,2,11,11,3
GER 9070,Lena Stückl,Jakob Achterberg,DTYC,2,5,2,4,13,13,4
GER 189,Karsten Contag,Thorsten Koch,SCLW,5,4,5,6,20,20,5
GER 9100,Nathalie Zeiler,Claudius Zeiler,SCLW,7,6,6,5,24,24,6
GER 8861,Wolfgang Seifert,Ivonne Seifert,SCLW,6,9,7,DNS,33,33,7
GBR 9159,Michael Eller,Ulli Heerdegen,SCLW,9,7,DNS,DNS,38,38,8
GER 8518,Achim Funk,Jochen Heydolph,SCLW,8,8,DNS,DNS,38,38,9
GER 9195,Julian Stückl,Dirk Penno,DTYC,DNS,DNS,DNS,DNS,44,44,10
