Nation,Sail  ,Helm,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Boat  ,Total,Pos
USA,9106,Mike Martin,Adam Lowry  ,StFYC/ StFYC  ,1,1,1,1,[2]  ,1,1,2,1,2,Boat  ,11,1
USA,9160,Howard Hamlin,Jeff Nelson  ,ABYC / NHYC/ ABYC / NHYC  ,[2]  ,2,2,2,1,2,2,1,2,1,?  ,15,2
USA,9202,Mike Holt,Keahi Ho  ,Santa Cruz YC/ Santa Cruz YC  ,3,3,5,6,5,3,6,3,4,[22/DNC]  ,IO Integration  ,38,3
USA,9142,Douglas Hagan,Paul Von Grey  ,PBYC/ BYC  ,[7]  ,6,6,5,3,5,3,4,5,4,Panic  ,41,4
USA,8714,Reeve Dunne,Jesse Kirkland  ,None/ RBYC  ,[22/DNC]  ,8,3,4,22/DNC  ,4,4,5,3,3,  ,56,5
USA,8829,Miles Johannessen,Curran Wilbour  ,BYC/ BYC  ,6,[11]  ,8,10,7,9,10,6,6,5,  ,67,6
CAN,8192,Philip Cragg,Reto Corfu,RVYC/KYC/ Kyc / Kyc  ,[22/DNC]  ,7,10,7,9,7,11,8,7,7,  ,73,7
USA,9073,Bruce Edwards,David Shelton  ,SCYC/ StFYC  ,4,5,4,3,6,6,7,[22/DNC]  ,22/DNC  ,22/DNC  ,Dog n Pony Show  ,79,8
USA,8823,Mats Elf,Brent Campbell,CYC Seattle/ SYC / CYC Seattle  ,5,[22/DNC]  ,22/DNC  ,9,4,8,8,13,9,6,Good Times  ,84,9
USA,8680,Andrew Hamilton,Patrick Diola  ,SCYC/ SCYC  ,9,10,9,11,8,10,[13]  ,10,8,11,River Rat  ,86,10
USA,8616,Lee Laney,Andrew Sutton  ,Bellingham Yacht Club/ SFYC  ,[22/DNC]  ,4,7,8,22/DNC  ,22/DNS  ,5,14,12,8,Miami Vice  ,102,11
USA,9083,Aaron Ross,Rob Waterman  ,Santa Cruz Yacht Club/ Alamitos Bay Yacht Club  ,8,9,[22/DNC]  ,12,11,22/DNC  ,22/DNC  ,11,11,10,Rob's Olde Boat  ,116,12
USA,8753,Ryan Nelson,Will Lowe  ,Encinal Yacht Club/ Encinal Yacht Club  ,[22/DNC]  ,22/DNC  ,22/DNC  ,14,14,14,14,15,14,13,Rogue One  ,142,13
USA,8439,Anne Fitzpatrick,Christian Pittack  ,CYC Seattle/ CYC Seattle  ,[22/DNC]  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,13,12,7,13,12,Yes Dear!  ,145,14
AUS,8781,Chris Gregg,Ian Gregg  ,Darling Point Sailing Squadron (DPSS),[22/DNF]  ,22/DNF  ,11,16,10,12,9,22/DNC  ,22/DNC  ,22/DNC  ,Drop Bears  ,146,15
USA,8864,Paul Pihl,Jack Thompson  ,Paul Pihl/ BYC  ,[22/DNC]  ,22/DNC  ,22/DNC  ,13,13,11,22/DNC  ,9,22/DNF  ,22/DNC  ,Heisenberg  ,156,16
USA,7873,Jackson McCoy,Blake Bentzen  ,Port Madison YC/ None  ,[22/DNC]  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,12,10,9,Rigel  ,163,17
USA,7610,Jake Sorosky,Christopher Hubbard  ,CYC Seattle/ CYC Seattle  ,[22/DNC]  ,22/DNC  ,22/DNC  ,15,12,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,Bugbear  ,181,18
USA,8786,Pierre Jeangirard,Adam Wolnikowski  ,PVG yacht club/ YCYC  ,10,[22/DNC]  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,  ,186,19
CAN ,9216,Robert Tennant,Steve Bourdow  ,RVicYC/ SCYC  ,[22/DNC]  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,  ,198T  ,20
USA,9091,AJ Crane,Blaine Pedlow  ,Rbyc/ St Francis yacht club  ,[22/DNC]  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,22/DNC  ,Ibiycyhi  ,198T  ,20
