Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.,,
GER,9197,Nicola Birkner,Angela Stenger,SVaW,1,2,1,,1
GER,9199,Michael Daisenberger,Jonas Nissen,DTYC,3,1,2,,2
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,4,3,3,,3
GER,189*,Karsten Contag,Thorsten Koch,SCLW,2,5,4,,4
GER,9198,Anna Hauschild,Johannes Tellen,SCS,6,4,5,,5
GER,8672,Dirk Hütten,Guido Von Walter,,5,7,7,,6
GER,7921,Tillmann Baier,Eckhard Busch,,7,6,9,,7
GER,8518,Achim Funk,Jochen Heydolph,SCLW,9,9,6,,8
GER,8691,Harald König,Katja Frühwald,SHVL,8,8,8,,9
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,10,10,10,,10
GER,8495,Norbert Weitkämper,Kaus Michael Probst,,11,11,11,,11
GER,8990,Martina Oltrogge,Peter Zimmer,,12,12,12,,12
