,,,,Lotos Nord Cup Gdańsk,,Mistrzostwa Polski,,SUMA
Miejsce,Łódka,Sternik,Załogant,Miejsce,Punkty,Miejsce,Punkty,
1,9020,Jakub Pawluk,Marcin Józefowski,1,1.1,1,1.4,2.5
2,9170,Karol Milewski,Jan Siekierzyński/Bartosz Milewski,2,2.2,4,5.6,7.8
3,9119,Mateusz Jura,Bartosz Chroł,3,3.3,4,5.6,8.9
4,9132,Przemek Zagórski,Michał Olko,4,4.4,11,15.4,19.8
5,8665,Marcin Panek,Jakub Grabowski/Wojciech Denderski,9,9.9,13,18.2,28.1
6,8483,Mariusz Michalski,Piotr Duma,7,7.7,16,22.4,30.1
7,8802,Dominik Ostrowski,Stefan Romanik,10,11,14,19.6,30.6
8,8145,Paweł Kluczyński,Władysław Kondej,6,6.6,18,25.2,31.8
9,9232,Tomasz Brzozowski,Paweł Choroba,,23.1,7,9.8,32.9
10,8212,Anna Jabłońska,Andrzej Zdrojek,11,12.1,15,21,33.1
11,8875,Dariusz Konopczak,Paweł Henszke,5,5.5,,29.4,34.9
12,9043,Mariusz Świstelwicki,Lesław Świstelwicki,,23.1,9,12.6,35.7
13,8909,Jan Domański,Roman Główka,,23.1,9,12.6,35.7
14,8769,Michał Ruciński,Bartosz Sadowski,8,8.8,,29.4,38.2
15,8906,Tomasz Polikowski,Adam Najmowicz,12,13.2,19,26.6,39.8
16,8493,Mieczysław Szwed,Tomasz Idzikowski,,23.1,12,16.8,39.9
17,8770,Jakub Gąsiorowski,Karolina Gąsiorowska,13,14.3,21,29.4,43.7
18,8490,Marcin Pfeiffer,Dominik Narloch,14,15.4,,29.4,44.8
19,8736,Michał Strusiński,Michał Prończuk,,23.1,17,23.8,46.9
20,8490,Marcin Preiffer,Dominik Narloch,,23.1,20,28,51.1
21,8751,Wojciech Kasprzyk,Maciej Kasprzyk,,23.1,22,30.8,53.9
