,,,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,NET,
CAN,8288,Robert Bartlewski,Alexander Meller,OHCC,1,2,-3,1,1,8,5,1st
CAN,9028,Shona Moss Lovshin,Evania Lovshin,NSC,2,-8,1,7,2,20,12,2nd
IRL,8987,Peter Scannell,John Dunlea,,-10,1,2,4,5,22,12,3rd
CAN,8821,Jeff Boyd,Martin tenHove,KYC,3,4,-5,2,3,17,12,4th
CAN,89*,Marie Gendron,David Brown,NSC,-6,3,4,6,4,23,17,5th
CAN,9138,Marek Balinski,Simon van Wonderen,OHCC,5,5,6,5,-8,29,21,6th
CAN,8850,Douglas Watson,Alex Taylor,OHCC,8,-9,8,3,6,34,25,7th
CAN,138*,Christian Voyer,Bradley Sheppard,NSC,4,-12,12,9,7,44,32,8th
CAN,8610,Shona Weldon,Michael Wonnacott,NSC,9,7,7,-12,10,45,33,9th
CAN,5*,Kyber Lovshin,Devlin Lovshin,BYC,7,-11,9,8,9,44,33,10th
CAN,8264,Peter Hale,Mike Smits,OHCC,(13.0 DNF),6,11,10,11,51,38,11th
CAN,8587,Paul Place,Sean Wylie,NSC,11,10,10,11,-12,54,42,12th
