Event Start Date,Event End Date,Name,Races,Competitors,Area,Organizer,Secretary,Arbiter,Wind direction,Wind power,Post Content,File,Series,On the water of,Country
1968-08-06,1968-08-10,Svenskt mästerskap,7,36,"Sandhamn,SWE",,,,,"5-7,5-7,3-7,3-4,4,1-2,5",,1968/country/sweden/1968-08-10.svenskt-masterskap.sandhamn.SWE.csv,National,,SWE
1968-08-25,1968-09-01,World Championship,6,75,"Kiel,GER",,,,,,,1968/world/1968-09-01.world-championship.kiel.GER.csv,World,,GER
1970-05-16,1970-05-18,DM,3,23,"Rastaholm,SWE",,,,,,,1970/country/sweden/1970-05-18.dm.rastaholm.SWE.csv,,,SWE
1970-08-23,1970-08-28,World Championship,6,80,"Plymouth, England",,,,,,,1970/world/1970-08-28.world-championship-plymouth.GBR.csv,World,,GBR
1971-06-05,1971-06-11,European Championship,5,83,"Copenhagen, DEN",Skovshoved Yacht Club,,,,,,1971/continental/1971-06-11.european-championship.copenhagen.DEN.csv,Continental,,DEN
1973-01-01,1973-01-01,World Championship,6,90,"Kellett Island, Causeway Bay,HKG",The Royal Hong Kong Yacht Club,Bill JEFFREY,,,,,1973/world/1973-01-01.world-championship.kellett-island-causeway-bay.HKG.csv,World,,HKG
1974-08-10,1974-08-24,World Championship,6,82,"Marstrand, SWE",Göteborgs Kungliga Segel Sällskap,,,,,,1974/world/1974-08-24.world-championship.marstrand.SWE.csv,World,,SWE
1975-10-05,1975-10-12,World Championship,6,69,"Hamilton,BER",,,,,,,1975/world/1975-10-12.world-championship.bermuda.csv,World,,
1978-08-18,1978-08-27,World Championship,5,86,"Copenhagen, DEN","Skovshoved Sejlklub,",,,,,,1978/world/1978-08-27.world-championship.copenhagen.DEN.csv,World,,DEN
1979-08-03,1979-08-11,European Championship,6,69,"Kiel,GER",Kieler Yacht-Club e.V.,,,,,,1979/continental/1979-08-11.european-championship.kiel.GER.csv,Continental,,GER
1981-01-01,1981-01-01,Pre-Worlds,6,90,"San Francisco, USA",St. Francis Yacht Club,,,,,,1981/world/1981.pre-world.san-francisco.USA.csv,Pre-Worlds,,
1981-01-01,1981-01-01,World Championship,6,86,"San Francisco, USA",St. Francis Yacht Club,,,,,,1981/world/1981.world.championship.san-francisco.USA.csv,World,,
1982-08-13,1982-08-20,World Championship,6,73,"Cork, IRL",Royal Cork Yacht Club,,,,,,1982/world/1982-08-20.world-championship.cork.IRL.csv,World,,
1983-03-01,1983-03-12,World Championship,6,63,"Adelaide,AUS",,,,,,,1983/world/1983-03-12.world-championship.adelaide.AUS.csv,World,,
1983-07-30,1983-08-06,European Championship,5,74,"Karlskrona, SWE","Royal Navy Sportclub of Karlskrona, Karlskrona Yachtclub",,,,,,1983/continetal/1983-08-06.european-championship.karlskrona.SWE.csv,Continental,,
1984-06-28,1984-07-08,World Championship,6,90,"Gromitz, GER",,,,,,,1984/world/1984-07-08-world-championship.gromitz.GER.csv,World,,
1985-10-11,1985-10-25,World Championship,6,55,"Fujisawa, JPN",ENOSHIMA Olympic Yacht Harbour,,,,,,1985/world/1985-10-25.world-championship.fujisawa.JPN.csv,World,,
1986-07-24,1986-08-02,World Championship,6,87,"La Rochelle, FRA","Sociéte des Régates Rochelaises,",,,,,,1986/world/1986-08-02.world-championship.la-rochelle.FRA.csv,World,,
1987-07-12,1987-07-20,World Championship,5,74,"Helsinki, FIN",Helsingfors Segelklubb,,,,,,1987/world/1987-07-20.world-championship.helsinki.FIN.csv,World,,
1988-02-08,1988-02-17,World Championship,4,90,"Sydney, AUS",Middle Harbour Yacht Club,,,,,,1988/world/1988-02-17.world-championship.sydney.AUS.csv,World,,
1989-01-01,1989-01-01,World Championship,6,90,"Felixstowe, GBR",Felixstowe Ferry,,,,,,1989/world/1989.world-championship.felixstowe.GBR.csv,World,,
1990-01-01,1990-01-01,World Championship,6,76,"Kingston,ON,CAN",Portsmouth Olympic Harbour,,,,,,1990/world/1990.world-championship.kingston.CAN.csv,World,,
1991-08-01,1991-08-08,World Championship,6,83,"Marstrand, SWE",Göteborgs Kungliga Segel Sällskap,,,,,,1991/world/1991-08-08.world-championship.marstrand.SWE.csv,World,,
1992-06-10,1992-06-18,European Championship,5,44,"Hellerup, DEN",Hellerup Sejlklub,,,,,,1992/continental/1992-06-18.european-championship.hellerup.DEN.csv,Continental,,
1992-08-08,1992-08-20,World Championship,6,85,"Santa Cruz,USA",,,,,,,1992/worlds/1992-08-20.world-championship.santa-cruz.USA.csv,World,,
1993-08-30,1993-09-07,World Championship,6,90,"Travemünde,GER",,,,,,,1993/world/1993-09-07.world-chamipionship.travemunde.GER.csv,World,,
1994-08-13,1994-08-21,European Championship,6,63,"Medemblik,NED",,,,,"5-10knt,5-10knt,25-30knt,25-30knt,15knt,5-10knt",,1994/continental/1994-08-21-european-championship-medemblik-NED.csv,Continental,,
1994-03-01,1994-03-07,World Championship,6,41,"Durban, RSA",,,,,,,1994/world/1994-03-07.world.championship.durban.RSA.csv,World,,
1995-07-27,1995-08-04,World Championship,4,106,"Marazion, GBR",Mounts Bay Sailing Club,,,,,,1995/world/1995-08-04.world-championship.marazion.GBR.csv,World,,
1996-04-07,1996-04-09,Australian Championship,6,80,"Townsville,AUS",,,,,,,1996/country/australia/1996-04-10-australia-championship.townsville.AUS.csv,National,,AUS
1996-04-10,1996-04-10,Pre-Worlds,3,98,"Townsville,AUS",,,,,,,1996/world/1996-04-12-pre-world.townsville.AUS.csv,Pre-Worlds,,AUS
1996-04-11,1996-04-18,World Championship,7,96,"Townsville,AUS",,,,,,,1996/world/1996-04-17-world.championship.townsville.australia.csv,World,,
1997-08-10,1997-08-11,Pre-Worlds / Danish Championship,6,70,"Gilleleje,DEN",Gilleleje Sejlklub,,,,,,1997/world/1997-08-11-pre-world.danish-championship.gilleleje.DEN.csv,"Pre-Worlds, National",,DEN
1997-08-10,1997-08-21,World Championship,7,79,"Gilleleje,DEN",Gilleleje Sejlklub,,,,,,1997/world/1997-08-21.world-championships.gilleleje.DEN.csv,World,,
1998-01-02,1998-01-02,Florida Midwinters,7,15,"St. Petersburg, FL, USA",St. Petersburg Sailing Center,,,,,,1998/country/usa/1998-01-02.florida-midwinters.st-petersburg.USA.csv,,,
1998-05-09,1998-05-16,European Championship,5,36,"Damp,GER",,,,,,,1998/continental/1998-05-16.european-championship.damp.GER.csv,Continental,,
1998-07-24,1998-07-26,Euro Cup,6,35,"Hayling Island,GBR",Hayling Island Sailing Club,,,,,,1998/1998-07-26-euro-cup-hayling-island-GBR.csv,Euro Cup,,
1998-08-01,1998-08-01,Zimbabwe Championship,12,9,"Kariba, Zimbabwe ",,,,,,,1998/country/zimbabwe/1998-08-01.zimbabwe-championship.kariba.ZIM.csv,National,Kariba,ZIM
1998-08-29,1998-08-29,Pacific Coast Championship,5,18,"Richmond,CA,USA",Richmond Yacht Club,,,,,,1998/country/usa/1998-08-29.pacific-coast-championship.richmond.USA.csv,,,
1998-08-29,1998-08-30,CORK,9,19,"Kingston,ON,CAN",CORK,,,,,,1998/country/canada/1998-08-30-cork-1998.kingston-on.CAN.csv,,,
