Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
SWE,3468,C. Båth,,,7,5,1,2,2,10,1
SWE,3702,T. Haraldsson,,,5,19,3,4,1,13,2
SWE,3316,S. Sjöström,,,27,8,2,1,3,14,3
SWE,3485,K. Forsell,,,18,1,6,9,8,24,4
SWE,3503,L. Westerlind,,,8,14,11,3,5,27,5
SWE,3638,M. Robertson,,,2,4,14,13,9,28,6
SWE,3683,S. Petersson,,,17,3,12,14,4,33,7
SWE,2784,G. Lindström,,,4,21,9,10,10,33,8
SWE,3856,L. Westerlund,,,6,17,8,16,6,36,9
SWE,3661,L. Flood,,,15,9,5,11,12,37,10
SWE,3106,O. Necander,,,3,13,21,6,16,38,11
SWE,3875,D. Knape,,,1,2,u,22,14,39,12
SWE,3417,G. Källfelt,,,12,12,4,12,u,40,13
SWE,3740,B. Thörner,,,14,15,7,5,u,41,14
SWE,3723,K-E Kihlmark,,,11,D,18,7,7,43,15
SWE,3816,J. Bengtsson,,,13,6,10,17,u,46,16
SWE,3858,Karl-Erik Nilsson,,,19,11,19,8,15,53,17
SWE,3420,A. Heuman,,,21,7,15,15,17,54,18
SWE,2962,J-E Levy,,,10,16,16,19,13,55,19
SWE,2832,C. Wåhlander,,,9,18,13,18,18,58,20
SWE,3323,Magnus Olsson,,,26,24,17,u,11,78,21
SWE,3817,C. Hagman,,,29,10,20,D,20,79,22
SWE,3722,B. Thambert,,,20,u,23,20,19,82,23
SWE,3538,B. Hägglund,,,22,22,25,21,ej,90,24
SWE,3857,C. Wincrantz,,,23,u,26,23,22,94,25
SWE,2437,A. Roman,,,24,20,22,ej,u,100,26
SWE,1969,A. Wincrantz,,,28,27,27,u,23,105,27
SWE,3591,K. Stade,,,32,26,24,24,ej,106,28
SWE,3877,H-G Utstrand,,,30,23,u,ej,21,108,29
SWE,3466,R. Sandberg,,,16,u,ej,ej,ej,118,30
SWE,3698,T. Nordström,,,25,25,ej,ej,ej,118,31
SWE,2732,C. von Bahr,,,31,u,ej,ej,ej,133,32
SWE,3579,L. Möller,,,u,u,ej,u,ej,136,33
