FRA,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Netto,Place
FRA,4036,Taillandier,Blondet,Y.C. PECQ,,,,,,8.7,1
FRA,3344,La Llemand,La Llemand,Y.C.I.F.,,,,,,11,2
FRA,3650,Paternault,Guiomard,C.Y.V.D.,,,,,,13,3
FRA,3047,Thibault Di Pede,Pascal,C.V.S.eP-,,,,,,14.4,4
FRA,2907,Maraut,Frileux,C.V.P.,,,,,,27,5
FRA,4010,Claude Fixot,Bizouard,C.V.Meaux,,,,,,29.1,6
FRA,,Laly,Crossard,C.N.V.C.,,,,,,33.7,7
FRA,3540,Leger,Leger,C.N.Bourgogne,,,,,,35,8
FRA,3423,Roland Banel,Latrace,C.V.E.S.Q.,,,,,,39,9
FRA,3355,Goutard,Reibel,C.V.M.S.,,,,,,40,10
,,,,,,,,,,,11
,,,,,,,,,,,12
