Country,Sail no.,Helm,Crew,Club,,Points,Place
FRA,3646,Wastiaux,Bauler,CYVM,,153,1
FRA,4342,Simon,Simon,CYVM,,148,2
FRA,4343,Baillet,Berger,CYVM,,132,3
FRA,4341,Nesseler,Nesseler,CVE,,130,4
FRA,3715,Philippe Blanchard,Carole Blanchard,ACAL,,125,5
FRA,3701,Jakob,Speckmann,Sarrebruck,,102,6
FRA,2772,Heymann,Heymann,YCN,,98,7
FRA,4320,Steiner,Senger,Sarrebruck,,88,8
FRA,3139,Brengard,Hoffmann,CVM,,85,9
FRA,3103,Galvez,Galvez,ACAL,,76,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
,,,,,,,19
,,,,,,,20
,,,,,,,21
,,,,,,,22
,,,,,,,23
,,,,,,,24
,,,,,,,25
,,,,,,,26
,,,,,,,27
,,,,,,,28
,,,,,,,29
,,,,,,,30
,,,,,,,31
,,,,,,,32
,,,,,,,33
,,,,,,,34
,,,,,,,35
,,,,,,,36
,,,,,,,37
,,,,,,,38
