Country,Sail Number,Helm,Crew,,,Points,Position
FRA,4420,Lange-Bertaut,Auclert,,,6,1
FRA,3694,Bretche,Lemeillet,,,15.7,2
FRA,4139,Marcel Buffet,Thierry Moreau-Defarges,,,19.4,3
FRA,4279,Doloy,Lazennec,,,20.4,4
FRA,-,Levesque,Castet,,,21,5
FRA,3345,Lallemand,Lallemand,,,24.7,6
FRA,4431,Christian Hauvette,Crapelet,,,33,7
FRA,2810,Vausanson,Plisson,,,41.7,8
FRA,3644,Souvestre,Souvestre,,,42,9
FRA,3949,Nicolas,Auvard,,,48,10
,,,,,,,11
,,,,,,,12
,,,,,,,13
,,,,,,,14
,,,,,,,15
,,,,,,,16
,,,,,,,17
,,,,,,,18
